row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch đánh giá TS,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch đánh giá TS,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.800.000.000.000,16.641.458,(1.848.203.592),20.278.275.441,523.118.419.406,25.720.660.999,7.367.285.793.712,6800000000000.0,16641458.0,-1848203592.0,20278275441.0,523118419406.0,25720660999.0,7367285793712.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,27.674.750.000,-,-,-,-,-,27.674.750.000,27674750000.0,,,,,,27674750000.0
Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,-,-,-,-,908.446.522.624,(1.175.713.444),907.270.809.180,,,,,908446522624.0,-1175713444.0,907270809180.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,(546.553.936.935),-,(546.553.936.935),,,,,-546553936935.0,,-546553936935.0
Tăng khác/ Giảm khác,Tăng khác/ Giảm khác,Tăng khác/ Giảm khác,-,(45.000.000),-,34.347.000.000,-,(6.613.998.121),27.688.001.879,,-45000000.0,,34347000000.0,,-6613998121.0,27688001879.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,6.827.674.750.000,(28.358.542),(1.848.203.592),54.625.275.441,885.011.005.095,17.930.949.434,7.783.365.417.836,6827674750000.0,-28358542.0,-1848203592.0,54625275441.0,885011005095.0,17930949434.0,7783365417836.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,6.827.674.750.000,(28.358.542),(1.848.203.592),54.625.275.441,885.011.005.095,17.930.949.434,7.783.365.417.836,6827674750000.0,-28358542.0,-1848203592.0,54625275441.0,885011005095.0,17930949434.0,7783365417836.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,-,-,,,,,,,
Lãi/lỗ trong năm nay,Tăng vốn trong năm nay > Lãi/lỗ trong năm nay,Lãi/lỗ trong năm nay,-,-,-,-,778.450.045.643,276.899.606,778.726.945.249,,,,,778450045643.0,276899606.0,778726945249.0
Phân phối lợi nhuận (*),Tăng vốn trong năm nay > Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,-,-,(474.015.985.000),-,(474.015.985.000),,,,,-474015985000.0,,-474015985000.0
Công ty con phân phối lợi nhuận,Tăng vốn trong năm nay > Công ty con phân phối lợi nhuận,Công ty con phân phối lợi nhuận,-,-,-,-,(449.369.626),(56.842.160),(506.211.786),,,,,-449369626.0,-56842160.0,-506211786.0
Tăng khác/ Giảm khác (*),Tăng vốn trong năm nay > Tăng khác/ Giảm khác (*),Tăng khác/ Giảm khác (*),-,-,-,33.794.000.000,-,-,33.794.000.000,,,,33794000000.0,,,33794000000.0
Số dư cuối năm nay,Tăng vốn trong năm nay > Số dư cuối năm nay,Số dư cuối năm nay,6.827.674.750.000,(28.358.542),(1.848.203.592),88.419.275.441,1.188.995.696.112,18.151.006.880,8.121.364.166.299,6827674750000.0,-28358542.0,-1848203592.0,88419275441.0,1188995696112.0,18151006880.0,8121364166299.0
