row_label_raw,row_label_full,col_0,Điện,Than,Khác,Cộng,numeric__Điện,numeric__Than,numeric__Khác,numeric__Cộng
Doanh thu,Doanh thu,Doanh thu,10.486.536.550.934,168.101.319.405,115.264.278.331,10.769.902.148.670,10486536550934.0,168101319405.0,115264278331.0,10769902148670.0
Giảm trừ doanh thu,Giảm trừ doanh thu,Giảm trừ doanh thu,-,-,-,-,,,,
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,,,,-,,,,
Giá vốn hàng bán,Chi phí kinh doanh > Giá vốn hàng bán,Giá vốn hàng bán,9.238.820.104.996,96.964.732.052,102.864.261.461,9.438.649.098.509,9238820104996.0,96964732052.0,102864261461.0,9438649098509.0
Lợi nhuận gộp,Chi phí kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,1.247.716.445.938,71.136.587.353,12.400.016.870,1.331.253.050.161,1247716445938.0,71136587353.0,12400016870.0,1331253050161.0
Chi phí bán hàng,Chi phí kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,2.370.156.654,,,,2370156654.0
Chi phí QLDN,Chi phí kinh doanh > Chi phí QLDN,Chi phí QLDN,,,,313.166.442.997,,,,313166442997.0
Kết quả HĐKD,Chi phí kinh doanh > Kết quả HĐKD,Kết quả HĐKD,,,,1.015.716.450.510,,,,1015716450510.0
Thu nhập từ HĐTC,Chi phí kinh doanh > Thu nhập từ HĐTC,Thu nhập từ HĐTC,,,,(152.588.617.101),,,,-152588617101.0
Lợi nhuận khác,Chi phí kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,(5.066.571.683),,,,-5066571683.0
LN/(lỗ) trước thuế,Chi phí kinh doanh > LN/(lỗ) trước thuế,LN/(lỗ) trước thuế,,,,858.061.261.726,,,,858061261726.0
Chi phí thuế TNDN,Chi phí kinh doanh > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,79.334.316.477,,,,79334316477.0
LN/(lỗ) sau thuế,Chi phí kinh doanh > LN/(lỗ) sau thuế,LN/(lỗ) sau thuế,,,,778.726.945.249,,,,778726945249.0
Tổng chi phí khấu hao và phân bổ,Chi phí kinh doanh > Tổng chi phí khấu hao và phân bổ,Tổng chi phí khấu hao và phân bổ,1.998.650.729.697,-,-,1.998.650.729.697,1998650729697.0,,,1998650729697.0
"Chi phí mua sắm TSCĐ và đầu tư XDCB tăng trong năm, trong đó:","Chi phí mua sắm TSCĐ và đầu tư XDCB tăng trong năm, trong đó:","Chi phí mua sắm TSCĐ và đầu tư XDCB tăng trong năm, trong đó:","Chi phí mua sắm TSCĐ và đầu tư XDCB tăng trong năm, trong đó:","Chi phí mua sắm TSCĐ và đầu tư XDCB tăng trong năm, trong đó:","Chi phí mua sắm TSCĐ và đầu tư XDCB tăng trong năm, trong đó:","Chi phí mua sắm TSCĐ và đầu tư XDCB tăng trong năm, trong đó:",,,,
Trực tiếp của bộ phận,"Chi phí mua sắm TSCĐ và đầu tư XDCB tăng trong năm, trong đó: > Trực tiếp của bộ phận",Trực tiếp của bộ phận,144.050.696.002,-,-,144.050.696.002,144050696002.0,,,144050696002.0
Không phân bổ,"Chi phí mua sắm TSCĐ và đầu tư XDCB tăng trong năm, trong đó: > Không phân bổ",Không phân bổ,,,,5.732.500.000,,,,5732500000.0
Cộng,"Chi phí mua sắm TSCĐ và đầu tư XDCB tăng trong năm, trong đó: > Cộng",Cộng,,,,149.783.196.002,,,,149783196002.0
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản trực tiếp của bộ phận,Tài sản > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,14.707.771.452.623,-,6.642.501.037,14.714.413.953.660,14707771452623.0,,6642501037.0,14714413953660.0
Tài sản không phân bổ,Tài sản > Tài sản không phân bổ,Tài sản không phân bổ,,,,1.956.392.446.140,,,,1956392446140.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,,,,16.670.806.399.800,,,,16670806399800.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả trực tiếp của bộ phận,Nợ phải trả > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,8.079.015.434.651,-,-,8.079.015.434.651,8079015434651.0,,,8079015434651.0
Nợ phải trả không phân bổ,Nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,470.426.798.850,,,,470426798850.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,8.549.442.233.501,,,,8549442233501.0
