row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,TSCĐ VH khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__TSCĐ VH khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,61.589.009.280,8.282.748.811,2.571.594.280,72.443.352.371,61589009280.0,8282748811.0,2571594280.0,72443352371.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.796.804.590,-,-,1.796.804.590,1796804590.0,,,1796804590.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,63.385.813.870,8.282.748.811,2.571.594.280,74.240.156.961,63385813870.0,8282748811.0,2571594280.0,74240156961.0
Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,,,,
Số đầu năm,Hao mòn luỹ kế > Số đầu năm,Số đầu năm,4.239.324.937,7.018.969.616,1.756.548.471,13.014.843.024,4239324937.0,7018969616.0,1756548471.0,13014843024.0
Khấu hao trong năm,Hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,1.419.342.014,986.628.792,412.049.192,2.818.019.998,1419342014.0,986628792.0,412049192.0,2818019998.0
Hao mòn trong năm,Hao mòn luỹ kế > Hao mòn trong năm,Hao mòn trong năm,33.790.824,-,-,33.790.824,33790824.0,,,33790824.0
Số cuối năm,Hao mòn luỹ kế > Số cuối năm,Số cuối năm,5.692.457.775,8.005.598.408,2.168.597.663,15.866.653.846,5692457775.0,8005598408.0,2168597663.0,15866653846.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,57.349.684.343,1.263.779.195,815.045.809,59.428.509.347,57349684343.0,1263779195.0,815045809.0,59428509347.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,57.693.356.095,277.150.403,402.996.617,58.373.503.115,57693356095.0,277150403.0,402996617.0,58373503115.0
