row_label_raw,row_label_full,STT > II.,Tên đơn vị > Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Giá gốc > 1.224.938.734.159,Số cuối năm > Dự phòng > -,Số cuối năm > Giá trị hợp lý > 1.224.938.734.159,Số đầu năm > Giá gốc > 1.224.938.734.159,Số đầu năm > Dự phòng > -,Số đầu năm > Giá trị hợp lý > 1.224.938.734.159,numeric__Tên đơn vị > Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Giá gốc > 1.224.938.734.159,numeric__Số cuối năm > Dự phòng > -,numeric__Số cuối năm > Giá trị hợp lý > 1.224.938.734.159,numeric__Số đầu năm > Giá gốc > 1.224.938.734.159,numeric__Số đầu năm > Dự phòng > -,numeric__Số đầu năm > Giá trị hợp lý > 1.224.938.734.159
1.,1.,1.,Công ty TNHH Điện lực Vĩnh Tân,386.597.424.159,-,386.597.424.159,386.597.424.159,-,386.597.424.159,,386597424159.0,,386597424159.0,386597424159.0,,386597424159.0
2.,2.,2.,Công ty CP Nhiệt điện Hải Phòng,360.500.000.000,-,360.500.000.000,360.500.000.000,-,360.500.000.000,,360500000000.0,,360500000000.0,360500000000.0,,360500000000.0
3.,3.,3.,Công ty CP Nhiệt điện Quảng Ninh,477.841.310.000,-,477.841.310.000,477.841.310.000,-,477.841.310.000,,477841310000.0,,477841310000.0,477841310000.0,,477841310000.0
,,,Công,1.224.938.734.159,-,1.224.938.734.159,1.224.938.734.159,-,1.224.938.734.159,,1224938734159.0,,1224938734159.0,1224938734159.0,,1224938734159.0
