row_label_raw,row_label_full,"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin",Mua dịch vụ,867.561.593,806.750.323,numeric__Mua dịch vụ,numeric__867.561.593,numeric__806.750.323
Công ty CP Xuất nhập khẩu Than - Vinacomin,Công ty CP Xuất nhập khẩu Than - Vinacomin,Công ty CP Xuất nhập khẩu Than - Vinacomin,"Mua thiết bị, dịch vụ",1.111.968.000,9.504.719.867,,1111968000.0,9504719867.0
Công ty CP Giám định - Vinacomin,Công ty CP Giám định - Vinacomin,Công ty CP Giám định - Vinacomin,Mua dịch vụ,187.405.394,38.630.170,,187405394.0,38630170.0
Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Mua hàng hóa,4.350.118.904,6.036.828.780,,4350118904.0,6036828780.0
Công ty CP Kinh doanh than Cẩm Phả - Vinacomin,Công ty CP Kinh doanh than Cẩm Phả - Vinacomin,Công ty CP Kinh doanh than Cẩm Phả - Vinacomin,Mua dịch vụ tro xỉ,-,5.751.648.490,,,5751648490.0
Ban QLDA Chuyên ngành Mỏ than,Ban QLDA Chuyên ngành Mỏ than,Ban QLDA Chuyên ngành Mỏ than,Mua dịch vụ,21.165.000,903.780.992,,21165000.0,903780992.0
Viện khoa học Công nghệ Mỏ - Vinacomin,Viện khoa học Công nghệ Mỏ - Vinacomin,Viện khoa học Công nghệ Mỏ - Vinacomin,"Mua vật tư, dịch vụ",1.089.665.067,235.955.705,,1089665067.0,235955705.0
Công ty CP chế tạo máy- Vinacomin,Công ty CP chế tạo máy- Vinacomin,Công ty CP chế tạo máy- Vinacomin,"Mua hàng hóa, dịch vụ",1.197.630.556,749.673.636,,1197630556.0,749673636.0
Cộng,Cộng,Cộng,,5.305.921.467.104,10.334.877.067.916,,5305921467104.0,10334877067916.0
