row_label_raw,row_label_full,Bên liên quan > Tập đoàn Công nghiệp Than -Khoáng sản Việt Nam,Nội dung giao dịch > Phí chuyển quyền sử dụng nhăn hiệu TKV > Cung cấp dịch vụ > Nhận nợ Thuế nhà thầu > Lãi chậm trả tiền than > Chi phí đi vay,Giá trị giao dịch > Số năm nay > 26.802.583.217 > - > 1.832.994.484 > 4.292.736.689 > 76.906.332.995,Giá trị giao dịch > Số năm trước > 24.234.381.859 > 1.195.035.748 > 2.089.898.971 > 34.840.838.379 > 87.753.342.393,numeric__Nội dung giao dịch > Phí chuyển quyền sử dụng nhăn hiệu TKV > Cung cấp dịch vụ > Nhận nợ Thuế nhà thầu > Lãi chậm trả tiền than > Chi phí đi vay,numeric__Giá trị giao dịch > Số năm nay > 26.802.583.217 > - > 1.832.994.484 > 4.292.736.689 > 76.906.332.995,numeric__Giá trị giao dịch > Số năm trước > 24.234.381.859 > 1.195.035.748 > 2.089.898.971 > 34.840.838.379 > 87.753.342.393
Công ty Kho vận và Càng,Công ty Kho vận và Càng,Công ty Kho vận và Càng,Bán than,168.101.319.405,167.827.357.933,,168101319405.0,167827357933.0
Cẩm Phả - Vinacomin,Cẩm Phả - Vinacomin,Cẩm Phả - Vinacomin,Mua than,4.851.944.565.092,9.880.276.265.324,,4851944565092.0,9880276265324.0
Cẩm Phả - Vinacomin,Cẩm Phả - Vinacomin,Cẩm Phả - Vinacomin,Cung cấp dịch vụ,1.006.443.667,1.001.333.100,,1006443667.0,1001333100.0
Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Bán điện,2.150.374.801,2.228.624.168,,2150374801.0,2228624168.0
Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,"Mua dịch vụ, thiết bị",29.444.967.763,23.393.138.014,,29444967763.0,23393138014.0
Viện Cơ khí Năng lượng và mỏ - Vinacomin,Viện Cơ khí Năng lượng và mỏ - Vinacomin,Viện Cơ khí Năng lượng và mỏ - Vinacomin,"Mua vật tư, dịch vụ",14.431.745.739,4.485.412.401,,14431745739.0,4485412401.0
Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,"Mua hàng hóa, dịch vụ",110.613.320.638,72.197.989.329,,110613320638.0,72197989329.0
Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Bán điện,1.357.464,1.435.192,,1357464.0,1435192.0
Bệnh viện Than - Khoáng sản,Bệnh viện Than - Khoáng sản,Bệnh viện Than - Khoáng sản,Mua dịch vụ,1.965.385.570,798.462.656,,1965385570.0,798462656.0
Trường Cao đẳng Than -Khoáng sản Việt Nam,Trường Cao đẳng Than -Khoáng sản Việt Nam,Trường Cao đẳng Than -Khoáng sản Việt Nam,Mua dịch vụ,878.589.000,368.117.500,,878589000.0,368117500.0
Công ty CP Công nghiệp Ô tô - Vinacomin,Công ty CP Công nghiệp Ô tô - Vinacomin,Công ty CP Công nghiệp Ô tô - Vinacomin,"Mua vật tư, thiết bị, dịch vụ",4.914.598.666,739.040.798,,4914598666.0,739040798.0
Trường Quản trị kinh doanh -Vinacomin,Trường Quản trị kinh doanh -Vinacomin,Trường Quản trị kinh doanh -Vinacomin,Mua dịch vụ,529.058.500,485.440.000,,529058500.0,485440000.0
Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Bán phế liệu,280.049.620,6.457.773.418,,280049620.0,6457773418.0
Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Mua dịch vụ,999.529.280,475.192.770,,999529280.0,475192770.0
