row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Lãi tiền vay,Lãi tiền vay,Lãi tiền vay,81.019.115.336,238.484.787.126,81019115336.0,238484787126.0
Hoàn nhập dự phòng giảm giá các khoản đầu tư,Hoàn nhập dự phòng giảm giá các khoản đầu tư,Hoàn nhập dự phòng giảm giá các khoản đầu tư,(56.477.613.417),-,-56477613417.0,
Lỗ do giảm tỉ lệ sở hữu ở công ty con,Lỗ do giảm tỉ lệ sở hữu ở công ty con,Lỗ do giảm tỉ lệ sở hữu ở công ty con,-,35.333.255.565,,35333255565.0
Chi phí báo lãnh và phát hành trái phiếu,Chi phí báo lãnh và phát hành trái phiếu,Chi phí báo lãnh và phát hành trái phiếu,7.192.908.455,13.188.230.848,7192908455.0,13188230848.0
Lỗ từ thanh lý khoản đầu tư,Lỗ từ thanh lý khoản đầu tư,Lỗ từ thanh lý khoản đầu tư,6.265.941.848,-,6265941848.0,
Chi phí lãi phát sinh từ khoản đặt cọc mua nhà khu đó thị Phúc Ninh,Chi phí lãi phát sinh từ khoản đặt cọc mua nhà khu đó thị Phúc Ninh,Chi phí lãi phát sinh từ khoản đặt cọc mua nhà khu đó thị Phúc Ninh,1.775.655.000,975.751.170,1775655000.0,975751170.0
Lỗ chênh lệch tỷ giá đã thực hiện,Lỗ chênh lệch tỷ giá đã thực hiện,Lỗ chênh lệch tỷ giá đã thực hiện,1.449.612.884,468.978.172,1449612884.0,468978172.0
Lỗ chênh lệch tỷ giá chưa thực hiện,Lỗ chênh lệch tỷ giá chưa thực hiện,Lỗ chênh lệch tỷ giá chưa thực hiện,-,3.588.622.690,,3588622690.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,145.250.725,111.335.842,145250725.0,111335842.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,41.370.870.831,292.150.961.413,41370870831.0,292150961413.0
