row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí phát triển cơ sở hạ tầng trích trước đối với phần doanh thu đã được ghi nhận,Ngắn hạn > Chi phí phát triển cơ sở hạ tầng trích trước đối với phần doanh thu đã được ghi nhận,Chi phí phát triển cơ sở hạ tầng trích trước đối với phần doanh thu đã được ghi nhận,794.666.742.075,617.851.226.038,794666742075.0,617851226038.0
- Khu công nghiệp Quế Võ hiện hữu,Ngắn hạn > - Khu công nghiệp Quế Võ hiện hữu,- Khu công nghiệp Quế Võ hiện hữu,30.949.674.086,38.715.957.304,30949674086.0,38715957304.0
- Khu công nghiệp Quế Võ mỏ rộng,Ngắn hạn > - Khu công nghiệp Quế Võ mỏ rộng,- Khu công nghiệp Quế Võ mỏ rộng,158.932.801.994,140.748.043.682,158932801994.0,140748043682.0
- Khu công nghiệp Tràng Duệ,Ngắn hạn > - Khu công nghiệp Tràng Duệ,- Khu công nghiệp Tràng Duệ,171.522.886.783,81.503.597.814,171522886783.0,81503597814.0
- Khu công nghiệp Quang Châu,Ngắn hạn > - Khu công nghiệp Quang Châu,- Khu công nghiệp Quang Châu,164.052.834.286,158.371.537.693,164052834286.0,158371537693.0
- Khu công nghiệp Tân Phú Trung,Ngắn hạn > - Khu công nghiệp Tân Phú Trung,- Khu công nghiệp Tân Phú Trung,269.208.544.926,198.512.089.545,269208544926.0,198512089545.0
Chi phí lãi vay phải trả,Ngắn hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,188.756.576.921,154.316.717.555,188756576921.0,154316717555.0
Chi phí phát hành trải phiếu,Ngắn hạn > Chi phí phát hành trải phiếu,Chi phí phát hành trải phiếu,-,13.950.000.000,,13950000000.0
Chi phí lãi vay phải trả bên liên quan (Thuyết minh số 29),Ngắn hạn > Chi phí lãi vay phải trả bên liên quan (Thuyết minh số 29),Chi phí lãi vay phải trả bên liên quan (Thuyết minh số 29),370.691.739,235.894.743,370691739.0,235894743.0
Các chi phí phải trả khác,Ngắn hạn > Các chi phí phải trả khác,Các chi phí phải trả khác,39.493.704.297,9.189.726.831,39493704297.0,9189726831.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.023.287.715.032,795.543.565.167,1023287715032.0,795543565167.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Chi phí lãi vay phải trả (*),Dải hạn > Chi phí lãi vay phải trả (*),Chi phí lãi vay phải trả (*),757.092.452.968,628.089.032.022,757092452968.0,628089032022.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,757.092.452.968,628.089.032.022,757092452968.0,628089032022.0
