row_label_raw,row_label_full,Mã số,Chỉ tiêu,Thuyết minh,Ngày 31 tháng 12 năm 2014 (đã được trình bày trước đây),Trình bày lại,Ngày 31 tháng 12 năm 2014 (trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2014 (đã được trình bày trước đây),numeric__Trình bày lại,numeric__Ngày 31 tháng 12 năm 2014 (trình bày lại)
Bàng cản đối kế toán hợp nhất,Bàng cản đối kế toán hợp nhất,Bàng cản đối kế toán hợp nhất,Bàng cản đối kế toán hợp nhất,Bàng cản đối kế toán hợp nhất,Bàng cản đối kế toán hợp nhất,Bàng cản đối kế toán hợp nhất,Bàng cản đối kế toán hợp nhất,,,,,
131,Bàng cản đối kế toán hợp nhất > 131,131,Phải thu ngắn hạn của khách hàng,(i),710.633.068.859,(47.483.747.000),663.149.321.859,,,710633068859.0,-47483747000.0,663149321859.0
135,Bàng cản đối kế toán hợp nhất > 135,135,Phải thu về cho vay ngắn hạn,(ii),-,62.790.991.000,62.790.991.000,,,,62790991000.0,62790991000.0
136,Bàng cản đối kế toán hợp nhất > 136,136,Phải thu ngắn hạn khác,(iii),804.193.496.379,2.952.300.357,807.145.796.736,,,804193496379.0,2952300357.0,807145796736.0
153,Bàng cản đối kế toán hợp nhất > 153,153,Thuế và các khoản khác phải thu Nhà nước,(xv),8.655.756.459,36.436.381.793,45.092.138.252,,,8655756459.0,36436381793.0,45092138252.0
155,Bàng cản đối kế toán hợp nhất > 155,155,Tài sản ngắn hạn khác,(iv),36.553.395.357,(36.553.395.357),-,,,36553395357.0,-36553395357.0,
211,Bàng cản đối kế toán hợp nhất > 211,211,Phải thu dài hạn của khách hàng,(v),461.757.137.391,3.608.451.000,465.365.588.391,,,461757137391.0,3608451000.0,465365588391.0
215,Bàng cản đối kế toán hợp nhất > 215,215,Phải thu về cho vay dài hạn,(vi),-,14.685.400.000,14.685.400.000,,,,14685400000.0,14685400000.0
216,Bàng cản đối kế toán hợp nhất > 216,216,Phải thu dài hạn khác,(vii),86.000.000,269.000.000,355.000.000,,,86000000.0,269000000.0,355000000.0
261,Bàng cản đối kế toán hợp nhất > 261,261,Chi phí trả trước dài hạn,(viii),22.320.584.962,(19.206.419.828),3.114.165.134,,,22320584962.0,-19206419828.0,3114165134.0
268,Bàng cản đối kế toán hợp nhất > 268,268,Tài sản dài hạn khác,(ix),60.000.000,(60.000.000),-,,,60000000.0,-60000000.0,
313,Bàng cản đối kế toán hợp nhất > 313,313,Thuế và các khoản phải nộp Nhà nước,(xv),167.497.455.109,(64.828.024.019),102.669.431.090,,,167497455109.0,-64828024019.0,102669431090.0
315,Bàng cản đối kế toán hợp nhất > 315,315,Chi phí phải trả ngắn hạn,(x),1.423.632.597.189,(628.089.032.022),795.543.565.167,,,1423632597189.0,-628089032022.0,795543565167.0
319,Bàng cản đối kế toán hợp nhất > 319,319,Phải trả ngắn hạn khác,(xi),240.332.662.093,(36.109.929.631),204.222.732.462,,,240332662093.0,-36109929631.0,204222732462.0
320,Bàng cản đối kế toán hợp nhất > 320,320,Vay ngắn hạn,(xii),998.211.850.989,18.609.929.631,1.016.821.780.620,,,998211850989.0,18609929631.0,1016821780620.0
333,Bàng cản đối kế toán hợp nhất > 333,333,Chi phí phải trả dài hạn,(x),-,628.089.032.022,628.089.032.022,,,,628089032022.0,628089032022.0
337,Bàng cản đối kế toán hợp nhất > 337,337,Phải trả dài hạn khác,(xiii),45.522.272.982,16.548.032.038,62.070.305.020,,,45522272982.0,16548032038.0,62070305020.0
338,Bàng cản đối kế toán hợp nhất > 338,338,Vay dài hạn,(xiv),3.054.659.342.874,(905.047.419.829),2.149.611.923.045,,,3054659342874.0,-905047419829.0,2149611923045.0
339,Bàng cản đối kế toán hợp nhất > 339,339,Trái phiếu chuyển đổi,(xiv),-,886.050.000.000,886.050.000.000,,,,886050000000.0,886050000000.0
341,Bàng cản đối kế toán hợp nhất > 341,341,Thuế thu nhập hoãn lại phải trả,(xv),383.592.201.739,101.264.405.812,484.856.607.551,,,383592201739.0,101264405812.0,484856607551.0
342,Bàng cản đối kế toán hợp nhất > 342,342,Dự phòng phải trả dài hạn,(xvi),-,951.967.962,951.967.962,,,,951967962.0,951967962.0
