row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lai),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lai)
400,400,400,D. VỐN CHỦ SỞ HỮU,,8.036.004.987.843,6.256.481.532.486,,,8036004987843.0,6256481532486.0
410,410,410,I. Vốn chủ sở hữu,,8.036.004.987.843,6.256.481.532.486,,,8036004987843.0,6256481532486.0
411,411,411,1. Vốn cổ phần,21.1,4.757.111.670.000,3.957.111.670.000,,211.0,4757111670000.0,3957111670000.0
411a,411a,411a,- Cổ phiếu cổ đông có quyền biểu quyết,,4.757.111.670.000,3.957.111.670.000,,,4757111670000.0,3957111670000.0
412,412,412,2. Thặng dư vốn cổ phần,21.1,989.064.430.000,611.603.430.000,,211.0,989064430000.0,611603430000.0
415,415,415,3. Cổ phiếu quỹ,21.1,(364.466.650.000),(364.466.650.000),,211.0,-364466650000.0,-364466650000.0
418,418,418,4. Quỹ đầu tư phát triển,21.1,2.223.693.823,2.223.693.823,,211.0,2223693823.0,2223693823.0
421,421,421,5. Lợi nhuận sau thuế chưa phân phối,21.1,1.781.536.119.480,1.169.625.513.861,,211.0,1781536119480.0,1169625513861.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,1.169.625.513.861,844.008.284.354,,,1169625513861.0,844008284354.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,611.910.605.619,325.617.229.507,,,611910605619.0,325617229507.0
429,429,429,6. Lợi ích cổ đông không kiểm soát,22,870.535.724.540,880.383.874.802,,22.0,870535724540.0,880383874802.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,13.653.707.159.630,13.066.261.004.211,,,13653707159630.0,13066261004211.0
