row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Số có khả năngtrả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Số có khả năngtrả nợ
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,,,,
- Công ty Cổ phầnĐầu tư Trường Phát,Phải trả cho người bán > - Công ty Cổ phầnĐầu tư Trường Phát,- Công ty Cổ phầnĐầu tư Trường Phát,9.559.539.000,9.559.539.000,14.652.077.895,14.652.077.895,9559539000.0,9559539000.0,14652077895.0,14652077895.0
- Công ty TNHHTrọng Cường,Phải trả cho người bán > - Công ty TNHHTrọng Cường,- Công ty TNHHTrọng Cường,2.929.856.895,2.929.856.895,2.537.411.718,2.537.411.718,2929856895.0,2929856895.0,2537411718.0,2537411718.0
- Công ty TNHHBlueScope BuildingsViệt Nam,Phải trả cho người bán > - Công ty TNHHBlueScope BuildingsViệt Nam,- Công ty TNHHBlueScope BuildingsViệt Nam,4.365.000.000,4.365.000.000,6.231.295.300,6.231.295.300,4365000000.0,4365000000.0,6231295300.0,6231295300.0
- Công ty Cổ phầnXây dựng số 1 HàNội,Phải trả cho người bán > - Công ty Cổ phầnXây dựng số 1 HàNội,- Công ty Cổ phầnXây dựng số 1 HàNội,2.317.260.652,2.317.260.652,3.749.876.087,3.749.876.087,2317260652.0,2317260652.0,3749876087.0,3749876087.0
- Công ty TNHH Vậntải Thương mạiThành Tiến,Phải trả cho người bán > - Công ty TNHH Vậntải Thương mạiThành Tiến,- Công ty TNHH Vậntải Thương mạiThành Tiến,10.418.885.000,10.418.885.000,-,-,10418885000.0,10418885000.0,,
- Công ty TNHH Xây dựng và Thươngmai An Phát,Phải trả cho người bán > - Công ty TNHH Xây dựng và Thươngmai An Phát,- Công ty TNHH Xây dựng và Thươngmai An Phát,3.830.196.750,3.830.196.750,-,-,3830196750.0,3830196750.0,,
- Các nhà cung cấpkhác,Phải trả cho người bán > - Các nhà cung cấpkhác,- Các nhà cung cấpkhác,43.481.668.345,43.481.668.345,28.488.499.830,28.488.499.830,43481668345.0,43481668345.0,28488499830.0,28488499830.0
Phải trả các bên liênquan(Thuyết minh số 29),Phải trả cho người bán > Phải trả các bên liênquan(Thuyết minh số 29),Phải trả các bên liênquan(Thuyết minh số 29),90.860.000,90.860.000,17.160.000,17.160.000,90860000.0,90860000.0,17160000.0,17160000.0
TỔNG CỘNG,Phải trả cho người bán > TỔNG CỘNG,TỔNG CỘNG,76.993.266.642,76.993.266.642,55.676.320.830,55.676.320.830,76993266642.0,76993266642.0,55676320830.0,55676320830.0
