row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Ngắn hạn > Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,5.000.000.000,82.570.642.264,5000000000.0,82570642264.0
Công ty Cổ phần Dịch vụ Kinh Bắc (i),Ngắn hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (i),Công ty Cổ phần Dịch vụ Kinh Bắc (i),-,38.000.000.000,,38000000000.0
Công ty Cổ phần Đầu tư Sài Gòn,Ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn,Công ty Cổ phần Đầu tư Sài Gòn,-,70.000.000.000,,70000000000.0
"Các khoản phải trả, phải nộp ngắn hạn khác","Ngắn hạn > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",25.319.777.921,13.652.090.198,25319777921.0,13652090198.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,30.319.777.921,204.222.732.462,30319777921.0,204222732462.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Công ty Cổ phần Cơ điện tử Và Tín học Cholimex (ii),Dải hạn > Công ty Cổ phần Cơ điện tử Và Tín học Cholimex (ii),Công ty Cổ phần Cơ điện tử Và Tín học Cholimex (ii),55.500.000.000,55.500.000.000,55500000000.0,55500000000.0
Đặt cọc khác,Dải hạn > Đặt cọc khác,Đặt cọc khác,3.772.399.555,6.570.305.020,3772399555.0,6570305020.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,59.272.399.555,62.070.305.020,59272399555.0,62070305020.0
