row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Khu công nghiệp Quế Võ > Ngân hàng TMCP Quốc dân (trước dây là Ngân hàng TMCP Nam Việt) - Chi nhánh Hà Nội > Ngân hàng TMCP Đại chủng Việt Nam > Ngân hàng TMCP Quốc dân (trước dây là Ngân hàng TMCP Nam Việt),Số cuối năm > 421.400.000.000 > 27.984.180.300 > 5.690.091.466 > 320.000.000.000 > 105.796.317.414,"Nguyên lệ (đõ la Mỹ) > - > 253.456,19 > -","Lãi suất > 11%/năm > 10,5%/năm > 5,6%/năm > 9,2%/năm > 11% - điều chỉnh 6 tháng 1 lần","Kỳ hạn trả gốc và lãi > Gốc vay và lãi trả vào ngày 6 tháng 2 năm 2020. Lãi vay được trả vào ngày 25 cuối mối quý > Gốc trả 6 tháng một lần từ ngày 25 tháng 7 năm 2016, lãi vay trả vào ngày 25 cuối quý > Lãi trả hàng tháng. Gốc vay trả hàng quý, đảo hạn ngày 6 tháng 1 năm 2019. > Ngày 31 tháng 12 năm 2017 > Trả nợ gốc 6 tháng 1 lần trong vòng 5 lần kể từ ngày 1 tháng 8 năm 2016","Hình thức đàm bảo > Cơ sở hạ tầng và các tài sản khác gần liền với đất, hình thành trong tương lai tại KCN Trăng Duệ II với điện tích là 214,02 ha. Tất cả khoản thu nhập, lợi tức, lợi ích, quyền tài sản phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất của Dự án, liên quan đến Quyền sử dụng đất và tài sản gần liền với đất. > Nhà uưởng lô L khu công nghiệp Quế Võ, các tài sản khác gần liền với đất hình thành trong tương lai tại lô L và các quyền tài sản phát sinh từ các hợp đồng kinh tế. > Tài sản hình thành từ vốn vay là thiết bị nhà máy nước sạch tại khu công nghiệp Quang Châu. > Giá trị tài sản hình thành trong tương lai của 120 ha Khu công nghiệp Quang Châu. > Giá trị quyền sử dụng đất lô B1, B2, B4, B5, B6 KCN Tân Phú Trung.",numeric__Số cuối năm > 421.400.000.000 > 27.984.180.300 > 5.690.091.466 > 320.000.000.000 > 105.796.317.414,"numeric__Nguyên lệ (đõ la Mỹ) > - > 253.456,19 > -","numeric__Lãi suất > 11%/năm > 10,5%/năm > 5,6%/năm > 9,2%/năm > 11% - điều chỉnh 6 tháng 1 lần","numeric__Kỳ hạn trả gốc và lãi > Gốc vay và lãi trả vào ngày 6 tháng 2 năm 2020. Lãi vay được trả vào ngày 25 cuối mối quý > Gốc trả 6 tháng một lần từ ngày 25 tháng 7 năm 2016, lãi vay trả vào ngày 25 cuối quý > Lãi trả hàng tháng. Gốc vay trả hàng quý, đảo hạn ngày 6 tháng 1 năm 2019. > Ngày 31 tháng 12 năm 2017 > Trả nợ gốc 6 tháng 1 lần trong vòng 5 lần kể từ ngày 1 tháng 8 năm 2016","numeric__Hình thức đàm bảo > Cơ sở hạ tầng và các tài sản khác gần liền với đất, hình thành trong tương lai tại KCN Trăng Duệ II với điện tích là 214,02 ha. Tất cả khoản thu nhập, lợi tức, lợi ích, quyền tài sản phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất của Dự án, liên quan đến Quyền sử dụng đất và tài sản gần liền với đất. > Nhà uưởng lô L khu công nghiệp Quế Võ, các tài sản khác gần liền với đất hình thành trong tương lai tại lô L và các quyền tài sản phát sinh từ các hợp đồng kinh tế. > Tài sản hình thành từ vốn vay là thiết bị nhà máy nước sạch tại khu công nghiệp Quang Châu. > Giá trị tài sản hình thành trong tương lai của 120 ha Khu công nghiệp Quang Châu. > Giá trị quyền sử dụng đất lô B1, B2, B4, B5, B6 KCN Tân Phú Trung."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,880.870.589.180,,,,,880870589180.0,,,,
Trong đó- Vay dài hạn đến hạn trả,Trong đó- Vay dài hạn đến hạn trả,Trong đó- Vay dài hạn đến hạn trả,38.502.212.972,,,,,38502212972.0,,,,
