row_label_raw,row_label_full,Bên liên quan > Phải thu khác về cho vay (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu khác về cho vay (Thuyết minh số 7),Đơn vị tính: VND > Số tiền > Phải thu khác về cho vay (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu khác về cho vay (Thuyết minh số 7),numeric__Đơn vị tính: VND > Số tiền > Phải thu khác về cho vay (Thuyết minh số 7)
Công ty Cổ phần Đầu tư Sài Gòn – Huế,Công ty Cổ phần Đầu tư Sài Gòn – Huế,Công ty Cổ phần Đầu tư Sài Gòn – Huế,Cho vay ngắn hạn,400.000.000,,400000000.0
Chi nhánh Công ty Cổ phần Công nghệ Viễn thông Sài Gòn tại Bắc Ninh,Chi nhánh Công ty Cổ phần Công nghệ Viễn thông Sài Gòn tại Bắc Ninh,Chi nhánh Công ty Cổ phần Công nghệ Viễn thông Sài Gòn tại Bắc Ninh,Cho vay ngắn hạn,8.900.000.000,,8900000000.0
,,,,9.300.000.000,,9300000000.0
Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),,
Bà Nguyễn Thị Thu Hương,Phải thu ngắn hạn khác (Thuyết minh số 8) > Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tạm ứng,3.960.772.420,,3960772420.0
Ông Đặng Thành Tâm,Phải thu ngắn hạn khác (Thuyết minh số 8) > Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Tạm ứng,6.638.125.088,,6638125088.0
Bà Nguyễn Chung Thủy,Phải thu ngắn hạn khác (Thuyết minh số 8) > Bà Nguyễn Chung Thủy,Bà Nguyễn Chung Thủy,Tạm ứng,180.000.000,,180000000.0
Ông Phan Anh Dũng,Phải thu ngắn hạn khác (Thuyết minh số 8) > Ông Phan Anh Dũng,Ông Phan Anh Dũng,Tạm ứng,110.000.000,,110000000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu ngắn hạn khác,22.592.687.097,,22592687097.0
,,,,33.481.584.605,,33481584605.0
Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),Vay ngắn hạn (Thuyết minh số 19),,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Vay ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Vay ngắn hạn,112.330.830.000,,112330830000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đa Nẵng,Vay ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Đầu tư Sài Gòn - Đa Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đa Nẵng,Vay dài hạn khác,1.500.000.000,,1500000000.0
,,,,113.830.830.000,,113830830000.0
Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn – Chi nhánh Bắc Ninh,Phải trả người bán (Thuyết minh số 15) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn – Chi nhánh Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn – Chi nhánh Bắc Ninh,Phải trả người bán,17.160.000,,17160000.0
,,,,17.160.000,,17160000.0
Chi phí phải trả (Thuyết minh số 17),Chi phí phải trả (Thuyết minh số 17),Chi phí phải trả (Thuyết minh số 17),Chi phí phải trả (Thuyết minh số 17),Chi phí phải trả (Thuyết minh số 17),,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Chi phí phải trả (Thuyết minh số 17) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Lãi vay phải trả,235.894.743,,235894743.0
,,,,235.894.743,,235894743.0
