row_label_raw,row_label_full,Ông Đặng Thành Tâm
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương
Ông Ngô Mạnh Hùng,Ông Ngô Mạnh Hùng,Ông Ngô Mạnh Hùng
Ông Huỳnh Phát,Ông Huỳnh Phát,Ông Huỳnh Phát
Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu
