row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Giá trị,Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty Cổ phần Đầu tưSải Gôn (i),Ngắn hạn > Công ty Cổ phần Đầu tưSải Gôn (i),Công ty Cổ phần Đầu tưSải Gôn (i),583.000.000.000,-,583.000.000.000,-,583000000000.0,,583000000000.0,
Phải thu chuyển nhượngcổ phần (ii),Ngắn hạn > Phải thu chuyển nhượngcổ phần (ii),Phải thu chuyển nhượngcổ phần (ii),672.730.000.000,-,-,-,672730000000.0,,,
Phải thu Công ty Cổ phầnTự vấn và Đầu tư KinhBắc (iii),Ngắn hạn > Phải thu Công ty Cổ phầnTự vấn và Đầu tư KinhBắc (iii),Phải thu Công ty Cổ phầnTự vấn và Đầu tư KinhBắc (iii),151.146.558.152,-,-,-,151146558152.0,,,
Phải thu lãi trả chậm,Ngắn hạn > Phải thu lãi trả chậm,Phải thu lãi trả chậm,-,-,16.385.571.712,-,,,16385571712.0,
Phải thu khác các bên liênquan (Thuyết minh số 29),Ngắn hạn > Phải thu khác các bên liênquan (Thuyết minh số 29),Phải thu khác các bên liênquan (Thuyết minh số 29),32.022.174.517,-,33.481.584.605,-,32022174517.0,,33481584605.0,
Phải thu Ủy ban Nhân dântỉnh Bắc Ninh (v),Ngắn hạn > Phải thu Ủy ban Nhân dântỉnh Bắc Ninh (v),Phải thu Ủy ban Nhân dântỉnh Bắc Ninh (v),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (vi),Ngắn hạn > Phải thu tiền đặt cọc (vi),Phải thu tiền đặt cọc (vi),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Phải thu Ủy ban Nhân dânXã Văn Dương,Ngắn hạn > Phải thu Ủy ban Nhân dânXã Văn Dương,Phải thu Ủy ban Nhân dânXã Văn Dương,2.228.672.000,-,2.228.672.000,-,2228672000.0,,2228672000.0,
Phải thu Công ty Cổ phầnKum-ba (vii),Ngắn hạn > Phải thu Công ty Cổ phầnKum-ba (vii),Phải thu Công ty Cổ phầnKum-ba (vii),43.875.296.000,-,43.875.296.000,-,43875296000.0,,43875296000.0,
Phải thu Triệu Thị Duyên,Ngắn hạn > Phải thu Triệu Thị Duyên,Phải thu Triệu Thị Duyên,-,-,68.800.000.000,-,,,68800000000.0,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,17.918.475.834,-,12.813.369.445,-,17918475834.0,,12813369445.0,
Phải thu khác (viii),Ngắn hạn > Phải thu khác (viii),Phải thu khác (viii),4.735.153.600,-,14.270.174.570,10.595.000.000,4735153600.0,,14270174570.0,10595000000.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.539.947.458.507,-,807.145.796.736,10.595.000.000,1539947458507.0,,807145796736.0,10595000000.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,
Công ty Cổ phần Dịch vụKinh Bắc (iv),Dải hạn > Công ty Cổ phần Dịch vụKinh Bắc (iv),Công ty Cổ phần Dịch vụKinh Bắc (iv),15.418.350.117,-,-,-,15418350117.0,,,
Phải thu dài hạn khác,Dải hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,209.000.000,-,355.000.000,-,209000000.0,,355000000.0,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,15.627.350.117,-,355.000.000,-,15627350117.0,,355000000.0,
