row_label_raw,row_label_full,col_0,col_1,Thay đổi trong kỳ,Thay đổi trong kỳ_1,Thay đổi trong kỳ_2,Thay đổi trong kỳ_3,numeric__col_1,numeric__Thay đổi trong kỳ,numeric__Thay đổi trong kỳ_1,numeric__Thay đổi trong kỳ_2,numeric__Thay đổi trong kỳ_3
,,,,Số đầu năm(Trình bày lại),Phát hành thêm,Đã chuyển thành cố phiếu (*),Đã đáo hạn không được chuyển thành cố phiếu,,,,,
Trải phiếu chuyển đổi,Trải phiếu chuyển đổi,Trải phiếu chuyển đổi,886.050.000.000,291.411.000.000,1.177.461.000.000,-,-,886050000000.0,291411000000.0,1177461000000.0,,
