row_label_raw,row_label_full,Phải nộpThuế giả trị gia tăngThuế thu nhập doanhnghiệp(Thuyết minh số 28.2)Thuế thu nhập cánhânCác khoản phải nộpNhà nước khác (*),Số đầu năm(Trình bày lại) > 73.501.280.142 > - > 308.393.438 > 28.859.757.510,Số phải nộptrong năm > 78.443.731.028 > 106.748.848.199 > 3.050.409.011 > 734.267.468,Đơn vị tính: VND > Số đã nộp/ đượckhẩu trừ trongnăm > (104.545.160.262) > (7.694.466.483) > (2.822.058.582) > (797.475.695),Đơn vị tính: VND > Số cuối năm > 47.399.850.908 > 99.054.381.716 > 536.743.867 > 28.796.549.283,numeric__Số đầu năm(Trình bày lại) > 73.501.280.142 > - > 308.393.438 > 28.859.757.510,numeric__Số phải nộptrong năm > 78.443.731.028 > 106.748.848.199 > 3.050.409.011 > 734.267.468,numeric__Đơn vị tính: VND > Số đã nộp/ đượckhẩu trừ trongnăm > (104.545.160.262) > (7.694.466.483) > (2.822.058.582) > (797.475.695),numeric__Đơn vị tính: VND > Số cuối năm > 47.399.850.908 > 99.054.381.716 > 536.743.867 > 28.796.549.283
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,102.669.431.090,188.977.255.706,(115.859.161.022),175.787.525.774,102669431090.0,188977255706.0,-115859161022.0,175787525774.0
Phải thuThuế thu nhập doanhnghiệp(Thuyết minh số 28.2),Phải thuThuế thu nhập doanhnghiệp(Thuyết minh số 28.2),Phải thuThuế thu nhập doanhnghiệp(Thuyết minh số 28.2),45.092.138.252,(7.132.663.892),-,37.959.474.360,45092138252.0,-7132663892.0,,37959474360.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,45.092.138.252,(7.132.663.892),-,37.959.474.360,45092138252.0,-7132663892.0,,37959474360.0
