row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,729.975.128.925,341.272.092.380,729975128925.0,341272092380.0
Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,,
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,,
Chi phí không được khấu trừ,Các khoản điều chỉnh tăng > Chi phí không được khấu trừ,Chi phí không được khấu trừ,20.519.384.702,3.696.162.450,20519384702.0,3696162450.0
Các khoản phạt,Các khoản điều chỉnh tăng > Các khoản phạt,Các khoản phạt,828.740.860,-,828740860.0,
Thủ lao của thành viên Hội đồng Quản trị,Các khoản điều chỉnh tăng > Thủ lao của thành viên Hội đồng Quản trị,Thủ lao của thành viên Hội đồng Quản trị,1.109.480.000,812.495.000,1109480000.0,812495000.0
Thu nhập chịu thuế cho hoạt động cho thuê đất từ các năm trước phải chịu thuế năm này,Các khoản điều chỉnh tăng > Thu nhập chịu thuế cho hoạt động cho thuê đất từ các năm trước phải chịu thuế năm này,Thu nhập chịu thuế cho hoạt động cho thuê đất từ các năm trước phải chịu thuế năm này,25.659.187.710,16.809.571.786,25659187710.0,16809571786.0
Phân bổ chênh lệch đánh giá lại tài sản,Các khoản điều chỉnh tăng > Phân bổ chênh lệch đánh giá lại tài sản,Phân bổ chênh lệch đánh giá lại tài sản,180.980.503.793,104.475.251.831,180980503793.0,104475251831.0
(Lãi)/lỗ từ công ty liên kết,Các khoản điều chỉnh tăng > (Lãi)/lỗ từ công ty liên kết,(Lãi)/lỗ từ công ty liên kết,(9.590.181.448),513.929.038,-9590181448.0,513929038.0
Lỗ chênh lệch tỉ giá chưa thực hiện,Các khoản điều chỉnh tăng > Lỗ chênh lệch tỉ giá chưa thực hiện,Lỗ chênh lệch tỉ giá chưa thực hiện,-,111.074.649,,111074649.0
Lỗ từ việc giảm tỉ lệ sở hữu tại công ty con,Các khoản điều chỉnh tăng > Lỗ từ việc giảm tỉ lệ sở hữu tại công ty con,Lỗ từ việc giảm tỉ lệ sở hữu tại công ty con,-,35.333.255.565,,35333255565.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,,
"Dự phòng cho công ty con, liên kết","Các khoản điều chỉnh giảm > Dự phòng cho công ty con, liên kết","Dự phòng cho công ty con, liên kết",(63.835.478.619),(56.086.307.756),-63835478619.0,-56086307756.0
Lãi từ thanh lý khoản đầu tư vào công ty liên kết,Các khoản điều chỉnh giảm > Lãi từ thanh lý khoản đầu tư vào công ty liên kết,Lãi từ thanh lý khoản đầu tư vào công ty liên kết,-,(6.359.014.365),,-6359014365.0
Thu nhập chịu thuế cho hoạt động cho thuê đất để phân bổ cho các năm sau,Các khoản điều chỉnh giảm > Thu nhập chịu thuế cho hoạt động cho thuê đất để phân bổ cho các năm sau,Thu nhập chịu thuế cho hoạt động cho thuê đất để phân bổ cho các năm sau,(365.225.511.137),(292.810.842.452),-365225511137.0,-292810842452.0
Điều chỉnh chi phí năm trước vào năm nay,Các khoản điều chỉnh giảm > Điều chỉnh chi phí năm trước vào năm nay,Điều chỉnh chi phí năm trước vào năm nay,-,(20.828.000.000),,-20828000000.0
Lợi nhuận điều chỉnh trước thuế chưa cắn trừ lỗ năm trước,Các khoản điều chỉnh giảm > Lợi nhuận điều chỉnh trước thuế chưa cắn trừ lỗ năm trước,Lợi nhuận điều chỉnh trước thuế chưa cắn trừ lỗ năm trước,520.421.254.786,126.939.668.126,520421254786.0,126939668126.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Lợi nhuận trước thuế của Công ty,Trong đó > Lợi nhuận trước thuế của Công ty,Lợi nhuận trước thuế của Công ty,492.652.574.171,193.086.997.911,492652574171.0,193086997911.0
