row_label_raw,row_label_full,col_0,Thuyết minh số,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Thuyết minh số,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,14.1,462.788.335.881,445.993.554.433,141.0,462788335881.0,445993554433.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,14.2,452.867.200.000,1.141.492.700.000,142.0,452867200000.0,1141492700000.0
Dư phòng giảm giá đầu tư dài hạn,Dư phòng giảm giá đầu tư dài hạn,Dư phòng giảm giá đầu tư dài hạn,,(23.052.816.635),(69.694.654.853),,-23052816635.0,-69694654853.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,892.602.719.246,1.517.791.599.580,,892602719246.0,1517791599580.0
