row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
- Công ty Cổ phần Sản xuất Thương mại Sài Gòn,Ngắn hạn > - Công ty Cổ phần Sản xuất Thương mại Sài Gòn,- Công ty Cổ phần Sản xuất Thương mại Sài Gòn,-,50.000.000.000,,50000000000.0
- Công ty Cổ phần Du lịch Sài Gòn,Ngắn hạn > - Công ty Cổ phần Du lịch Sài Gòn,- Công ty Cổ phần Du lịch Sài Gòn,500.000.000,500.000.000,500000000.0,500000000.0
- Công ty Cổ phần Khu công nghiệp Sài Gòn - Tây Ninh (i),Ngắn hạn > - Công ty Cổ phần Khu công nghiệp Sài Gòn - Tây Ninh (i),- Công ty Cổ phần Khu công nghiệp Sài Gòn - Tây Ninh (i),300.000.000,300.000.000,300000000.0,300000000.0
- Phải thu các công ty khác,Ngắn hạn > - Phải thu các công ty khác,- Phải thu các công ty khác,2.599.720.000,2.690.991.000,2599720000.0,2690991000.0
Phải thu cho vay các bên liên quan (Thuyết minh số 29),Ngắn hạn > Phải thu cho vay các bên liên quan (Thuyết minh số 29),Phải thu cho vay các bên liên quan (Thuyết minh số 29),9.100.000.000,9.300.000.000,9100000000.0,9300000000.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,12.499.720.000,62.790.991.000,12499720000.0,62790991000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
- Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Dài hạn > - Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,- Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,6.992.700.000,6.992.700.000,6992700000.0,6992700000.0
- Công ty Cổ phần Dịch vụ Kinh Bắc (ii),Dài hạn > - Công ty Cổ phần Dịch vụ Kinh Bắc (ii),- Công ty Cổ phần Dịch vụ Kinh Bắc (ii),-,6.992.700.000,,6992700000.0
- Ban quản lý dự án xây dựng thành phố Bắc Ninh (UBND thành phố Bắc Ninh),Dài hạn > - Ban quản lý dự án xây dựng thành phố Bắc Ninh (UBND thành phố Bắc Ninh),- Ban quản lý dự án xây dựng thành phố Bắc Ninh (UBND thành phố Bắc Ninh),700.000.000,700.000.000,700000000.0,700000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,7.692.700.000,14.685.400.000,7692700000.0,14685400000.0
