row_label_raw,row_label_full,Số dư đầu năm > Trích lập trong năm > Hoàn nhập trong năm,Số cuối năm > 19.349.892.467 > 328.550.833 > (3.390.400.000),Đơn vị tính: VND > Số đầu năm > 16.996.721.233 > 2.353.171.234 > -,numeric__Số cuối năm > 19.349.892.467 > 328.550.833 > (3.390.400.000),numeric__Đơn vị tính: VND > Số đầu năm > 16.996.721.233 > 2.353.171.234 > -
Giảm khác,Giảm khác,Giảm khác,(7.204.600.000),-,-7204600000.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,9.083.443.300,19.349.892.467,9083443300.0,19349892467.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Dư phòng phải thu ngắn hạn khách hàng khó đòi,Trong đó: > Dư phòng phải thu ngắn hạn khách hàng khó đòi,Dư phòng phải thu ngắn hạn khách hàng khó đòi,8.583.443.300,8.254.892.467,8583443300.0,8254892467.0
Dư phòng phải thu về cho vay khó đòi,Trong đó: > Dư phòng phải thu về cho vay khó đòi,Dư phòng phải thu về cho vay khó đòi,500.000.000,500.000.000,500000000.0,500000000.0
Dư phòng phải thu khác khó đòi,Trong đó: > Dư phòng phải thu khác khó đòi,Dư phòng phải thu khác khó đòi,-,10.595.000.000,,10595000000.0
