row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Dự án Khu công nghiệp vàKhu đô thị Tràng Cát (i),Dự án Khu công nghiệp vàKhu đô thị Tràng Cát (i),Dự án Khu công nghiệp vàKhu đô thị Tràng Cát (i),3.352.808.991.554,-,3.180.330.291.504,-,3352808991554.0,,3180330291504.0,
Dự án Khu công nghiệpTân Phú Trung (ii),Dự án Khu công nghiệpTân Phú Trung (ii),Dự án Khu công nghiệpTân Phú Trung (ii),2.559.881.884.282,-,2.660.448.936.286,-,2559881884282.0,,2660448936286.0,
Dự án Khu đô thị PhúcNinh,Dự án Khu đô thị PhúcNinh,Dự án Khu đô thị PhúcNinh,791.241.769.241,-,763.875.971.070,-,791241769241.0,,763875971070.0,
Dự án Khu công nghiệp vàđô thị Quang Châu,Dự án Khu công nghiệp vàđô thị Quang Châu,Dự án Khu công nghiệp vàđô thị Quang Châu,551.643.366.073,-,504.915.930.496,-,551643366073.0,,504915930496.0,
Dự án Khu công nghiệpTràng Duệ - giai đoạn 1 (iii),Dự án Khu công nghiệpTràng Duệ - giai đoạn 1 (iii),Dự án Khu công nghiệpTràng Duệ - giai đoạn 1 (iii),16.498.178.861,-,80.842.121.675,-,16498178861.0,,80842121675.0,
Dự án Khu công nghiệpTràng Duệ - giai đoạn 2,Dự án Khu công nghiệpTràng Duệ - giai đoạn 2,Dự án Khu công nghiệpTràng Duệ - giai đoạn 2,446.614.321.229,-,954.745.236,-,446614321229.0,,954745236.0,
Dự án Khu công nghiệpNam Sơn - Hạp Lĩnh,Dự án Khu công nghiệpNam Sơn - Hạp Lĩnh,Dự án Khu công nghiệpNam Sơn - Hạp Lĩnh,206.869.480.433,-,194.505.863.659,-,206869480433.0,,194505863659.0,
Dự án Khu công nghiệpQuế Võ mở rộng,Dự án Khu công nghiệpQuế Võ mở rộng,Dự án Khu công nghiệpQuế Võ mở rộng,337.106.227.149,-,117.840.809.247,-,337106227149.0,,117840809247.0,
Dự án Khu công nghiệpQuế Võ hiện hữu,Dự án Khu công nghiệpQuế Võ hiện hữu,Dự án Khu công nghiệpQuế Võ hiện hữu,64.211.681.110,-,74.814.613.682,-,64211681110.0,,74814613682.0,
Dự án Khu nhà thu nhậpthấp,Dự án Khu nhà thu nhậpthấp,Dự án Khu nhà thu nhậpthấp,23.897.163.067,-,23.897.163.067,-,23897163067.0,,23897163067.0,
Các dự án khác,Các dự án khác,Các dự án khác,13.675.314.872,-,13.923.658.637,-,13675314872.0,,13923658637.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.364.448.377.871,-,7.616.350.104.559,-,8364448377871.0,,7616350104559.0,
