row_label_raw,row_label_full,col_0,Vốn cổ phần đã góp,Thặng dư vốn,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã góp,numeric__Thặng dư vốn,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,2.957.111.670.000,611.603.430.000,(364.466.650.000),2.223.693.823,844.008.284.354,864.294.659.709,4.914.775.087.886,2957111670000.0,611603430000.0,-364466650000.0,2223693823.0,844008284354.0,864294659709.0,4914775087886.0
- Tăng trong năm,Năm trước > - Tăng trong năm,- Tăng trong năm,1.000.000.000.000,-,-,-,-,35.333.255.565,1.035.333.255.565,1000000000000.0,,,,,35333255565.0,1035333255565.0
- Giảm trong năm,Năm trước > - Giảm trong năm,- Giảm trong năm,-,-,-,-,-,(5.595.945.604),(5.595.945.604),,,,,,-5595945604.0,-5595945604.0
- Lợi nhuận/(lỗ) trong năm,Năm trước > - Lợi nhuận/(lỗ) trong năm,- Lợi nhuận/(lỗ) trong năm,-,-,-,-,325.617.229.507,(13.648.094.868),311.969.134.639,,,,,325617229507.0,-13648094868.0,311969134639.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,3.957.111.670.000,611.603.430.000,(364.466.650.000),2.223.693.823,1.169.625.513.861,880.383.874.802,6.256.481.532.486,3957111670000.0,611603430000.0,-364466650000.0,2223693823.0,1169625513861.0,880383874802.0,6256481532486.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.957.111.670.000,611.603.430.000,(364.466.650.000),2.223.693.823,1.169.625.513.861,880.383.874.802,6.256.481.532.486,3957111670000.0,611603430000.0,-364466650000.0,2223693823.0,1169625513861.0,880383874802.0,6256481532486.0
- Tăng trong năm (*),Năm nay > - Tăng trong năm (*),- Tăng trong năm (*),800.000.000.000,377.461.000.000,-,-,-,-,1.177.461.000.000,800000000000.0,377461000000.0,,,,,1177461000000.0
- Lợi nhuận/(lỗ) thuần trong năm,Năm nay > - Lợi nhuận/(lỗ) thuần trong năm,- Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,611.910.605.619,(9.848.150.262),602.062.455.357,,,,,611910605619.0,-9848150262.0,602062455357.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,4.757.111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,1.781.536.119.480,870.535.724.540,8.036.004.987.843,4757111670000.0,989064430000.0,-364466650000.0,2223693823.0,1781536119480.0,870535724540.0,8036004987843.0
