row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệ(%),Số cuối năm > Số lượngcổ phiếu,Số cuối năm > Giá trị ghi số,Số đầu năm > Tỷ lệ(%),Số đầu năm > Số lượngcổ phiếu,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Tỷ lệ(%),numeric__Số cuối năm > Số lượngcổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Tỷ lệ(%),numeric__Số đầu năm > Số lượngcổ phiếu,numeric__Số đầu năm > Giá trị ghi số
Công ty Cổ phần Năng lượngSải Gôn – Bình Bình (i),Công ty Cổ phần Năng lượngSải Gôn – Bình Bình (i),Công ty Cổ phần Năng lượngSải Gôn – Bình Bình (i),-,-,-,"4,83",48.300.000,483.000.000.000,,,,4.83,48300000.0,483000000000.0
Công ty Cổ phần Khoảngsản Sài Gòn - Quy Nhơn,Công ty Cổ phần Khoảngsản Sài Gòn - Quy Nhơn,Công ty Cổ phần Khoảngsản Sài Gòn - Quy Nhơn,"5,75",6.900.000,339.000.000.000,"5,75",6.900.000,339.000.000.000,5.75,6900000.0,339000000000.0,5.75,6900000.0,339000000000.0
Công ty Cổ phần Thủy điệnSGI – Lào (ii),Công ty Cổ phần Thủy điệnSGI – Lào (ii),Công ty Cổ phần Thủy điệnSGI – Lào (ii),-,-,-,19,19.000.000,190.000.000.000,,,,19.0,19000000.0,190000000000.0
Công ty Cổ phần Đầu tư SàiGôn - Đà Nẵng,Công ty Cổ phần Đầu tư SàiGôn - Đà Nẵng,Công ty Cổ phần Đầu tư SàiGôn - Đà Nẵng,,3.900.000,39.000.000.000,"19,5",3.900.000,39.000.000.000,,3900000.0,39000000000.0,19.5,3900000.0,39000000000.0
Công ty Cổ phần TruyềnThông VTC - Saigontel,Công ty Cổ phần TruyềnThông VTC - Saigontel,Công ty Cổ phần TruyềnThông VTC - Saigontel,"19,19",3.070.020,30.700.200.000,"19,19",3.070.020,30.700.200.000,19.19,3070020.0,30700200000.0,19.19,3070020.0,30700200000.0
Công ty Cổ phần Khu côngnghiệp Sài Gòn – BìnhPhước,Công ty Cổ phần Khu côngnghiệp Sài Gòn – BìnhPhước,Công ty Cổ phần Khu côngnghiệp Sài Gòn – BìnhPhước,"10,56",190.000,19.000.000.000,"10,56",190.000,19.000.000.000,10.56,190000.0,19000000000.0,10.56,190000.0,19000000000.0
Công ty Cổ phần Đầu tư Xây dựng & Vật liệu Xây dựngSải Gòn,Công ty Cổ phần Đầu tư Xây dựng & Vật liệu Xây dựngSải Gòn,Công ty Cổ phần Đầu tư Xây dựng & Vật liệu Xây dựngSải Gòn,-,-,-,19,950.000,11.352.500.000,,,,19.0,950000.0,11352500000.0
Công ty Cổ phần Khu côngnghiệp Sài Gòn - Nhơn Hội,Công ty Cổ phần Khu côngnghiệp Sài Gòn - Nhơn Hội,Công ty Cổ phần Khu côngnghiệp Sài Gòn - Nhơn Hội,10,100.000,10.000.000.000,10,100.000,10.000.000.000,10.0,100000.0,10000000000.0,10.0,100000.0,10000000000.0
Công ty Cổ phần Du lịch SàiGôn - Hàm Tân (iii),Công ty Cổ phần Du lịch SàiGôn - Hàm Tân (iii),Công ty Cổ phần Du lịch SàiGôn - Hàm Tân (iii),"1,63",70.000,7.000.000.000,"6,48",70.000,7.000.000.000,1.63,70000.0,7000000000.0,6.48,70000.0,7000000000.0
Công ty Cổ phần Quản lýQuỹ Đầu tư Chứng khoánBán Việt (iv),Công ty Cổ phần Quản lýQuỹ Đầu tư Chứng khoánBán Việt (iv),Công ty Cổ phần Quản lýQuỹ Đầu tư Chứng khoánBán Việt (iv),3,44,4.367.000.000,3,"86,40",8.640.000.000,3.0,44.0,4367000000.0,3.0,86.4,8640000000.0
Công ty Cổ phần Đầu tưPhát triển Nhà máy Điện SàiGôn - Bình Thuận,Công ty Cổ phần Đầu tưPhát triển Nhà máy Điện SàiGôn - Bình Thuận,Công ty Cổ phần Đầu tưPhát triển Nhà máy Điện SàiGôn - Bình Thuận,"0,35",350.000,3.500.000.000,"0,35",350.000,3.500.000.000,0.35,350000.0,3500000000.0,0.35,350000.0,3500000000.0
Công ty Cổ phần Khu côngnghiệp Sài Gòn – Long An,Công ty Cổ phần Khu côngnghiệp Sài Gòn – Long An,Công ty Cổ phần Khu côngnghiệp Sài Gòn – Long An,"0,15",30.000,300.000.000,"0,15",30.000,300.000.000,0.15,30000.0,300000000.0,0.15,30000.0,300000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,452.867.200.000,,,1.141.492.700.000,,,452867200000.0,,,1141492700000.0
Dự phòng giảm giả đầu tudài hạn,Dự phòng giảm giả đầu tudài hạn,Dự phòng giảm giả đầu tudài hạn,,,(23.052.816.635),,,(69.694.654.853),,,-23052816635.0,,,-69694654853.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,429.814.383.365,,,1.071.798.045.147,,,429814383365.0,,,1071798045147.0
