row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm nay > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm nay > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,9.616.128.501,5.264.591.290,9616128501.0,5264591290.0
Lương thường nhân viên,Lương thường nhân viên,Lương thường nhân viên,51.803.476.748,46.450.330.273,51803476748.0,46450330273.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,15.749.086.481,13.643.617.858,15749086481.0,13643617858.0
Hoàn nhập dự phòng phải thu,Hoàn nhập dự phòng phải thu,Hoàn nhập dự phòng phải thu,-,709.856.501,,709856501.0
Khác,Khác,Khác,15.830.310.447,14.577.539.509,15830310447.0,14577539509.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,92.999.002.177,80.645.935.431,92999002177.0,80645935431.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
Mua logo công ty,Các khoản chi phí bán hàng phát sinh trong năm > Mua logo công ty,Mua logo công ty,14.901.600.000,-,14901600000.0,
"Phí tư vấn pháp lý, môi giới bán hàng","Các khoản chi phí bán hàng phát sinh trong năm > Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng",14.583.723.422,12.505.574.772,14583723422.0,12505574772.0
Chi phí nhân viên bán hàng,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,2.094.587.118,3.180.727.421,2094587118.0,3180727421.0
Khác,Các khoản chi phí bán hàng phát sinh trong năm > Khác,Khác,3.307.894.383,2.001.930.882,3307894383.0,2001930882.0
TỔNG CỘNG,Các khoản chi phí bán hàng phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,34.887.804.923,17.688.233.075,34887804923.0,17688233075.0
