row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
300,300,300,C. NỘ PHẢI TRẢ,,5.617.702.171.787,6.809.779.471.724,,,5617702171787.0,6809779471724.0
310,310,310,I. Nợ ngắn hạn,,2.944.659.205.006,2.592.533.350.470,,,2944659205006.0,2592533350470.0
311,311,311,1. Phải trả người bán ngắn hạn,15.1,76.993.266.642,55.676.320.830,,151.0,76993266642.0,55676320830.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,15.2,425.917.221.868,408.858.439.492,,152.0,425917221868.0,408858439492.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,16,175.787.525.774,102.669.431.090,,16.0,175787525774.0,102669431090.0
314,314,314,4. Phải trả người lao động,,68.698.469,1.606.801.500,,,68698469.0,1606801500.0
315,315,315,5. Chi phí phải trả ngắn hạn,17,1.023.287.715.032,795.543.565.167,,17.0,1023287715032.0,795543565167.0
319,319,319,6. Phải trả ngắn hạn khác,18,30.319.777.921,204.222.732.462,,18.0,30319777921.0,204222732462.0
320,320,320,7. Vay ngắn hạn,19,1.205.201.739.991,1.016.821.780.620,,19.0,1205201739991.0,1016821780620.0
322,322,322,"8. Quý khen thưởng, phúc lợi",,7.083.259.309,7.134.279.309,,,7083259309.0,7134279309.0
330,330,330,II. Nợ dài hạn,,2.673.042.966.781,4.217.246.121.254,,,2673042966781.0,4217246121254.0
333,333,333,1. Chi phí phải trả dài hạn,17,757.092.452.968,628.089.032.022,,17.0,757092452968.0,628089032022.0
336,336,336,2. Doanh thu chưa thực hiện dài hạn,,5.302.235.179,5.616.285.654,,,5302235179.0,5616285654.0
337,337,337,3. Phải trả dài hạn khác,18,59.272.399.555,62.070.305.020,,18.0,59272399555.0,62070305020.0
338,338,338,4. Vay dài hạn,19,1.351.536.142.090,2.149.611.923.045,,19.0,1351536142090.0,2149611923045.0
339,339,339,5. Trái phiếu chuyển đổi,20,,886.050.000.000,,20.0,,886050000000.0
341,341,341,6. Thuế thu nhập hoãn lại phải trả,28.3,498.887.769.027,484.856.607.551,,283.0,498887769027.0,484856607551.0
342,342,342,7. Dự phòng phải trả dài hạn,,951.967.962,951.967.962,,,951967962.0,951967962.0
