row_label_raw,row_label_full,col_0,Thuyết minh,Tỷ lệ vốn góp,Số cuối năm > Số cổ phiếu,Số cuối năm > Giá trị ghi số,Số đầu năm > Số cổ phiếu,Số đầu năm > Giá trị ghi số,numeric__Thuyết minh,numeric__Tỷ lệ vốn góp,numeric__Số cuối năm > Số cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Số cổ phiếu,numeric__Số đầu năm > Giá trị ghi số
Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Sài Gòn - Huế,(i),"28,14%",9.849.000,210.115.300.777,9.849.000,210.529.264.240,,0.2814,9849000.0,210115300777.0,9849000.0,210529264240.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(ii),"21,48%",15.896.923,163.264.402.974,15.896.923,152.984.724.489,,0.2148,15896923.0,163264402974.0,15896923.0,152984724489.0
Công ty Cổ phần Đầu tư Phát triển Khu Công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Khu Công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Khu Công nghệ Cao Sài Gòn,(iii),"27,44%",8.233.083,82.468.701.980,8.233.083,82.479.565.704,,0.27440000000000003,8233083.0,82468701980.0,8233083.0,82479565704.0
Công ty Cổ phần Scanviwood,Công ty Cổ phần Scanviwood,Công ty Cổ phần Scanviwood,(iv),34%,1.077.528,6.939.930.150,-,-,,0.34,1077528.0,6939930150.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,462.788.335.881,,445.993.554.433,,,,462788335881.0,,445993554433.0
