row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc (bao gồm chi phí phát triển đất và cơ sở hạ tầng)","Mãy móc, thiết bị",Phương tiễn vận tải,Thiết bị văn phòng,Khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc (bao gồm chi phí phát triển đất và cơ sở hạ tầng)","numeric__Mãy móc, thiết bị",numeric__Phương tiễn vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,170.814.699.429,32.273.266.388,32.813.108.309,4.948.281.944,894.109.090,241.743.465.160,170814699429.0,32273266388.0,32813108309.0,4948281944.0,894109090.0,241743465160.0
- Mua mới trong năm,Nguyên giá: > - Mua mới trong năm,- Mua mới trong năm,1.230.632.364,358.980.161,12.555.915.992,1.600.545.000,-,15.746.073.517,1230632364.0,358980161.0,12555915992.0,1600545000.0,,15746073517.0
- Xây dựng cơ bản dở dang hoàn thành,Nguyên giá: > - Xây dựng cơ bản dở dang hoàn thành,- Xây dựng cơ bản dở dang hoàn thành,10.922.905.031,-,483.262.727,2.820.227.573,-,14.226.395.331,10922905031.0,,483262727.0,2820227573.0,,14226395331.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(476.068.818),-,-,(476.068.818),,,-476068818.0,,,-476068818.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(3.069.897.535),-,-,-,-,(3.069.897.535),-3069897535.0,,,,,-3069897535.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,179.898.339.289,32.632.246.549,45.376.218.210,9.369.054.517,894.109.090,268.169.967.655,179898339289.0,32632246549.0,45376218210.0,9369054517.0,894109090.0,268169967655.0
Trong đó:Tải sản cố định đã hết khấu hao,Nguyên giá: > Trong đó:Tải sản cố định đã hết khấu hao,Trong đó:Tải sản cố định đã hết khấu hao,394.064.686,1.051.245.455,9.445.453.507,2.790.286.887,319.109.090,14.000.159.625,394064686.0,1051245455.0,9445453507.0,2790286887.0,319109090.0,14000159625.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,66.303.165.568,13.836.630.000,18.455.707.360,3.431.029.992,793.346.593,102.819.879.513,66303165568.0,13836630000.0,18455707360.0,3431029992.0,793346593.0,102819879513.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,16.624.380.856,3.190.830.098,4.372.476.020,561.164.053,71.875.000,24.820.726.027,16624380856.0,3190830098.0,4372476020.0,561164053.0,71875000.0,24820726027.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(476.068.818),-,-,(476.068.818),,,-476068818.0,,,-476068818.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,82.927.546.423,17.027.460.098,22.352.114.562,3.992.194.045,865.221.593,127.164.536.721,82927546423.0,17027460098.0,22352114562.0,3992194045.0,865221593.0,127164536721.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,104.511.533.861,18.436.636.388,14.357.400.949,1.517.251.952,100.762.497,138.923.585.647,104511533861.0,18436636388.0,14357400949.0,1517251952.0,100762497.0,138923585647.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,96.970.792.866,15.604.786.451,23.024.103.648,5.376.860.472,28.887.497,141.005.430.934,96970792866.0,15604786451.0,23024103648.0,5376860472.0,28887497.0,141005430934.0
