row_label_raw,row_label_full,Tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
HDQT và Ban Tổng Giám đốc,HDQT và Ban Tổng Giám đốc,HDQT và Ban Tổng Giám đốc,HDQT và Ban Tổng Giám đốc,HDQT và Ban Tổng Giám đốc,HDQT và Ban Tổng Giám đốc,,,
Ông Trần Bá Dương,Ông Trần Bá Dương,Ông Trần Bá Dương,Chủ tịch,-,-,,,
Ông Đoàn Nguyên Đức,Ông Trần Bá Dương > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Phó chủ tịch,144.000,144.000,,144000.0,144000.0
Ông Trần Bảo Sơn,Ông Trần Bảo Sơn,Ông Trần Bảo Sơn,Thành viên/Tổng Giám đốc,-,-,,,
Ông Nguyễn Hoàng Phi,Ông Nguyễn Hoàng Phi,Ông Nguyễn Hoàng Phi,Thành viên/Phó Tổng Giám Đốc,-,-,,,
Ông Nguyễn Phúc Thịnh,Ông Nguyễn Phúc Thịnh,Ông Nguyễn Phúc Thịnh,Thành viên,-,-,,,
Bà Võ Thị Mỹ Hạnh,Ông Nguyễn Phúc Thịnh > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Tổng Giám đốc cho đến ngày 16 tháng 4 năm 2022,-,30.000,,,30000.0
BOS,BOS,BOS,BOS,BOS,BOS,,,
Ông Bùi Minh Khoa,Ông Bùi Minh Khoa,Ông Bùi Minh Khoa,Trường ban,-,-,,,
Ông Đăng Công Trực,Ông Đăng Công Trực,Ông Đăng Công Trực,Thành viên,-,-,,,
Bà Bùi Thị Liễu,Bà Bùi Thị Liễu,Bà Bùi Thị Liễu,Thành viên từ ngày 16 tháng 4 năm 2022,-,-,,,
Bà Lê Thùy Dương,Bà Bùi Thị Liễu > Bà Lê Thùy Dương,Bà Lê Thùy Dương,Thành viên cho đến ngày 16 tháng 4 năm 2022,-,18.000,,,18000.0
TỔNG CỘNG,Bà Bùi Thị Liễu > TỔNG CỘNG,TỔNG CỘNG,,144.000,192.000,,144000.0,192000.0
