row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.755.025.588,2.255.107.462,2755025588.0,2255107462.0
Phải thu các bên liên quan từ việc cán trừ công nợ,Phải thu các bên liên quan từ việc cán trừ công nợ,Phải thu các bên liên quan từ việc cán trừ công nợ,1.906.456.037,1.661.497.770,1906456037.0,1661497770.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,671.605.138,384.245.702,671605138.0,384245702.0
Chi hộ,Chi hộ,Chi hộ,176.267.106,167.203.522,176267106.0,167203522.0
Khác,Khác,Khác,697.307,42.160.468,697307.0,42160468.0
Dài hạn,Dài hạn,Dài hạn,1.668.938.243,1.606.994.774,1668938243.0,1606994774.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,1.637.747.061,1.576.715.651,1637747061.0,1576715651.0
Khác,Khác,Khác,31.191.182,30.279.123,31191182.0,30279123.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.423.963.831,3.862.102.236,4423963831.0,3862102236.0
Dự phòng phải thu khác khó đòi (TM số 9),Dự phòng phải thu khác khó đòi (TM số 9),Dự phòng phải thu khác khó đòi (TM số 9),-,(21.012.000),,-21012000.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,4.423.963.831,3.841.090.236,4423963831.0,3841090236.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác các bên liên quan(TM số 27),Trong đó: > Phải thu ngắn hạn khác các bên liên quan(TM số 27),Phải thu ngắn hạn khác các bên liên quan(TM số 27),2.754.328.281,2.233.201.271,2754328281.0,2233201271.0
Phải thu dài hạn khác các bên liên quan(TM số 27),Trong đó: > Phải thu dài hạn khác các bên liên quan(TM số 27),Phải thu dài hạn khác các bên liên quan(TM số 27),1.668.938.243,1.606.994.774,1668938243.0,1606994774.0
Phải thu khác các bên thứ ba,Trong đó: > Phải thu khác các bên thứ ba,Phải thu khác các bên thứ ba,697.307,894.191,697307.0,894191.0
