row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,
HA Attapeu,Phải thu ngắn hạn khác (TM số 8) > HA Attapeu,HA Attapeu,Cán trừ công nợLãi cho vayChi hộ,1.544.502.764518.905.443175.328.116,1.516.459.348296.928.809166.939.528,,1.5445027645189053e+27,1.516459348296929e+27
HA Oyadav,Phải thu ngắn hạn khác (TM số 8) > HA Oyadav,HA Oyadav,Cán trừ công nợLãi cho vay,208.405.36435.696.686,-1.965.448,,2.084053643569669e+16,-1965448.0
HAQM Lào,Phải thu ngắn hạn khác (TM số 8) > HAQM Lào,HAQM Lào,Lãi cho vayCán trừ công nợChi hộ,117.003.0085.993.044938.990,85.351.4445.890.280263.994,,1.1700300859930449e+21,8.535144458902802e+20
CRD,Phải thu ngắn hạn khác (TM số 8) > CRD,CRD,Cán trừ công nợ,75.757.851,5.955.067,,75757851.0,5955067.0
Thaco Agri,Phải thu ngắn hạn khác (TM số 8) > Thaco Agri,Thaco Agri,Cán trừ công nợ,71.724.705,127.295.595,,71724705.0,127295595.0
Bidiphar,Phải thu ngắn hạn khác (TM số 8) > Bidiphar,Bidiphar,Cổ tức được chia,-,26.144.558,,,26144558.0
Bên liên quan khác,Phải thu ngắn hạn khác (TM số 8) > Bên liên quan khác,Bên liên quan khác,Chi hộ,72.310,7.200,,72310.0,7200.0
TỔNG CỘNG,Phải thu ngắn hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,2.754.328.281,2.233.201.271,,2754328281.0,2233201271.0
Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),,,
HA Attapeu,Phải thu dài hạn khác (TM số 8) > HA Attapeu,HA Attapeu,Lãi cho vay,1.529.997.028,1.507.685.122,,1529997028.0,1507685122.0
HAQM Lào,Phải thu dài hạn khác (TM số 8) > HAQM Lào,HAQM Lào,Lãi cho vayCán trừ công nợ,72.226.29631.191.182,66.400.82230.279.122,,7222629631191182.0,6640082230279122.0
HA Oyadav,Phải thu dài hạn khác (TM số 8) > HA Oyadav,HA Oyadav,Lãi cho vay,35.523.737,2.629.708,,35523737.0,2629708.0
TỔNG CỘNG,Phải thu dài hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,1.668.938.243,1.606.994.774,,1668938243.0,1606994774.0
Phải trả người bán ngắn hạn (TM số 14),Phải trả người bán ngắn hạn (TM số 14),Phải trả người bán ngắn hạn (TM số 14),Phải trả người bán ngắn hạn (TM số 14),Phải trả người bán ngắn hạn (TM số 14),Phải trả người bán ngắn hạn (TM số 14),,,
Thaco Phân Phối,Phải trả người bán ngắn hạn (TM số 14) > Thaco Phân Phối,Thaco Phân Phối,Mua hàng hóa,30.337.400,24.300.000,,30337400.0,24300000.0
CRD,Phải trả người bán ngắn hạn (TM số 14) > CRD,CRD,Mua hàng hóa,2.549.268,2.473.553,,2549268.0,2473553.0
Thaco Agri,Phải trả người bán ngắn hạn (TM số 14) > Thaco Agri,Thaco Agri,Mua hàng hóa,-,33.835.318,,,33835318.0
Bên liên quan khác,Phải trả người bán ngắn hạn (TM số 14) > Bên liên quan khác,Bên liên quan khác,Mua hàng hóa và dịch vụ,7.422.416,3.779.834,,7422416.0,3779834.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (TM số 14) > TỔNG CỘNG,TỔNG CỘNG,,40.309.084,64.388.705,,40309084.0,64388705.0
