row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Người mua trả tiền trước ngắn hạn (TM số 15),Người mua trả tiền trước ngắn hạn (TM số 15),Người mua trả tiền trước ngắn hạn (TM số 15),Người mua trả tiền trước ngắn hạn (TM số 15),Người mua trả tiền trước ngắn hạn (TM số 15),Người mua trả tiền trước ngắn hạn (TM số 15),,,
Thaco Agri,Người mua trả tiền trước ngắn hạn (TM số 15) > Thaco Agri,Thaco Agri,Mua hàng hóa,846.686.346,1.749.775,,846686346.0,1749775.0
Chi phí phải trả ngắn hạn (TM số 17),Chi phí phải trả ngắn hạn (TM số 17),Chi phí phải trả ngắn hạn (TM số 17),Chi phí phải trả ngắn hạn (TM số 17),Chi phí phải trả ngắn hạn (TM số 17),Chi phí phải trả ngắn hạn (TM số 17),,,
Thaco Agri,Chi phí phải trả ngắn hạn (TM số 17) > Thaco Agri,Thaco Agri,Lãi vay,570.909.491,98.571.561,,570909491.0,98571561.0
Phải trả ngắn hạn khác (TM số 18),Phải trả ngắn hạn khác (TM số 18),Phải trả ngắn hạn khác (TM số 18),Phải trả ngắn hạn khác (TM số 18),Phải trả ngắn hạn khác (TM số 18),Phải trả ngắn hạn khác (TM số 18),,,
HA Rattanakiri,Phải trả ngắn hạn khác (TM số 18) > HA Rattanakiri,HA Rattanakiri,Cán trừ công nợ,226.742.175,65.484.210,,226742175.0,65484210.0
Thaco Agri,Phải trả ngắn hạn khác (TM số 18) > Thaco Agri,Thaco Agri,Mượn tiền,8.453.813,100.000,,8453813.0,100000.0
HA Attapeu,Phải trả ngắn hạn khác (TM số 18) > HA Attapeu,HA Attapeu,Thu hộ,7.648.200,-,,7648200.0,
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 18) > TỔNG CỘNG,TỔNG CỘNG,,242.844.188,65.584.210,,242844188.0,65584210.0
Chi phí phải trả dài hạn (TM số 17),Chi phí phải trả dài hạn (TM số 17),Chi phí phải trả dài hạn (TM số 17),Chi phí phải trả dài hạn (TM số 17),Chi phí phải trả dài hạn (TM số 17),Chi phí phải trả dài hạn (TM số 17),,,
Thaco Agri,Chi phí phải trả dài hạn (TM số 17) > Thaco Agri,Thaco Agri,Lãi vay,-,57.094.890,,,57094890.0
Phải trả dài hạn khác (TM số 18),Phải trả dài hạn khác (TM số 18),Phải trả dài hạn khác (TM số 18),Phải trả dài hạn khác (TM số 18),Phải trả dài hạn khác (TM số 18),Phải trả dài hạn khác (TM số 18),,,
Heng Brothers,Phải trả dài hạn khác (TM số 18) > Heng Brothers,Heng Brothers,Cán trừ công nợ,30.271.853,29.379.845,,30271853.0,29379845.0
HA Oyadav,Phải trả dài hạn khác (TM số 18) > HA Oyadav,HA Oyadav,Cán trừ công nợ,-,67.668.910,,,67668910.0
TỔNG CỘNG,Phải trả dài hạn khác (TM số 18) > TỔNG CỘNG,TỔNG CỘNG,,30.271.853,97.048.755,,30271853.0,97048755.0
Vay ngắn hạn (TM số 19.1 và TM số 19.4),Vay ngắn hạn (TM số 19.1 và TM số 19.4),Vay ngắn hạn (TM số 19.1 và TM số 19.4),Vay ngắn hạn (TM số 19.1 và TM số 19.4),Vay ngắn hạn (TM số 19.1 và TM số 19.4),Vay ngắn hạn (TM số 19.1 và TM số 19.4),,,
Thaco Agri,Vay ngắn hạn (TM số 19.1 và TM số 19.4) > Thaco Agri,Thaco Agri,Vay,3.549.936.988,2.530.493.017,,3549936988.0,2530493017.0
HAG,Vay ngắn hạn (TM số 19.1 và TM số 19.4) > HAG,HAG,Vay,984.698.038,500.000.000,,984698038.0,500000000.0
TỔNG CỘNG,Vay ngắn hạn (TM số 19.1 và TM số 19.4) > TỔNG CỘNG,TỔNG CỘNG,,4.534.635.026,3.030.493.017,,4534635026.0,3030493017.0
Vay dài hạn (TM số 19.4),Vay dài hạn (TM số 19.4),Vay dài hạn (TM số 19.4),Vay dài hạn (TM số 19.4),Vay dài hạn (TM số 19.4),Vay dài hạn (TM số 19.4),,,
Thaco Agri,Vay dài hạn (TM số 19.4) > Thaco Agri,Thaco Agri,Vay,1.904.917.600,884.883.897,,1904917600.0,884883897.0
HAG,Vay dài hạn (TM số 19.4) > HAG,HAG,Vay,-,586.343.970,,,586343970.0
TỔNG CỘNG,Vay dài hạn (TM số 19.4) > TỔNG CỘNG,TỔNG CỘNG,,1.904.917.600,1.471.227.867,,1904917600.0,1471227867.0
