row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,6.691.873,8.659.726,6691873.0,8659726.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,5.319.752,6.906.219,5319752.0,6906219.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,1.116.251,1.541.637,1116251.0,1541637.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,-,196.700,,196700.0
Khác,Khác,Khác,255.870,15.170,255870.0,15170.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,22.788.265,38.273.541,22788265.0,38273541.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,12.208.155,17.963.226,12208155.0,17963226.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,4.481.537,5.058.178,4481537.0,5058178.0
Khấu hao và hao mòn tài sản cố định,Khấu hao và hao mòn tài sản cố định,Khấu hao và hao mòn tài sản cố định,1.715.408,1.418.175,1715408.0,1418175.0
Khác,Khác,Khác,4.383.165,13.833.962,4383165.0,13833962.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,29.480.138,46.933.267,29480138.0,46933267.0
