row_label_raw,row_label_full,"Tên ngân hàng > Ngân hàng Thương mại cổ phần Sài GònThương Tín(“Sacombank”), Chi nhánh Sài Gòn",Số cuối nămNgàn VND > 170.594.605,Thời hạn thanh toán > Từ ngày 24 tháng 12 năm2024 đếnngày 24 tháng12 năm 2026,"Lãi suất%/năm > Lãi suất tiết kiệm của Sacombank hạn 13 tháng lãi trả sau + 2,00%/năm được điều chỉnh 3 tháng/lần(năm 2023: 11,55%)",Mục đích vay > Tài trợ cho các dự án phát triển trồng cây cao su và mua sắm máy móc thiết bị của các công ty con tại Campuchia,"Tài sản đảm bảo > 23,2 triệu cổ phiếu HAG do Ông Đoàn Nguyên Đức – Chủ tịch HĐQT Công ty sở hữu và 14,5 triệu cổ phiếu HAQM Việt Nam do Thaco Agri sở hữu",numeric__Số cuối nămNgàn VND > 170.594.605,numeric__Thời hạn thanh toán > Từ ngày 24 tháng 12 năm2024 đếnngày 24 tháng12 năm 2026,"numeric__Lãi suất%/năm > Lãi suất tiết kiệm của Sacombank hạn 13 tháng lãi trả sau + 2,00%/năm được điều chỉnh 3 tháng/lần(năm 2023: 11,55%)",numeric__Mục đích vay > Tài trợ cho các dự án phát triển trồng cây cao su và mua sắm máy móc thiết bị của các công ty con tại Campuchia,"numeric__Tài sản đảm bảo > 23,2 triệu cổ phiếu HAG do Ông Đoàn Nguyên Đức – Chủ tịch HĐQT Công ty sở hữu và 14,5 triệu cổ phiếu HAQM Việt Nam do Thaco Agri sở hữu"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,170.594.605,,,,,170594605.0,,,,
Trong đó:Vay dài hạnVay dài hạnđến hạn trả,Trong đó:Vay dài hạnVay dài hạnđến hạn trả,Trong đó:Vay dài hạnVay dài hạnđến hạn trả,118.104.60552.490.000,,,,,1.181046055249e+16,,,,
