row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,616.336.122,237.349.753,616336122.0,237349753.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,587.979.344,208.473.554,587979344.0,208473554.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,28.356.778,28.876.199,28356778.0,28876199.0
Dài hạn,Dài hạn,Dài hạn,33.939.083,107.440.727,33939083.0,107440727.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,33.939.083,107.440.727,33939083.0,107440727.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,650.275.205,344.790.480,650275205.0,344790480.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn bên liên quan (TM số 27),Trong đó: > Phải trả ngắn hạn bên liên quan (TM số 27),Phải trả ngắn hạn bên liên quan (TM số 27),570.909.491,98.571.561,570909491.0,98571561.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,79.365.714,189.124.029,79365714.0,189124029.0
Phải trả dài hạn bên liên quan (TM số 27),Trong đó: > Phải trả dài hạn bên liên quan (TM số 27),Phải trả dài hạn bên liên quan (TM số 27),-,57.094.890,,57094890.0
