row_label_raw,row_label_full,Bên liên quan,Nội dungnghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nội dungnghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),,,
HA Attapeu,Phải thu ngắn hạn của khách hàng (TM số 5) > HA Attapeu,HA Attapeu,Bán hàng hóa,1.486.158.661,1.227.928.346,,1486158661.0,1227928346.0
HAQM Lào,Phải thu ngắn hạn của khách hàng (TM số 5) > HAQM Lào,HAQM Lào,Bán hàng hóa,46.193.058,44.762.105,,46193058.0,44762105.0
HA Oyadav,Phải thu ngắn hạn của khách hàng (TM số 5) > HA Oyadav,HA Oyadav,Bán hàng hóa,36.598.662,114.977.231,,36598662.0,114977231.0
CRD,Phải thu ngắn hạn của khách hàng (TM số 5) > CRD,CRD,Bán hàng hóa,13.998.941,13.589.598,,13998941.0,13589598.0
Bên liên quan khác,Phải thu ngắn hạn của khách hàng (TM số 5) > Bên liên quan khác,Bên liên quan khác,Bán hàng hóa,69.660,69.660,,69660.0,69660.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng (TM số 5) > TỔNG CỘNG,TỔNG CỘNG,,1.583.018.982,1.401.326.940,,1583018982.0,1401326940.0
Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),,,
HA Attapeu,Trả trước cho người bán ngắn hạn (TM số 6) > HA Attapeu,HA Attapeu,Mua hàng hóa,764.824.376,769.826.123,,764824376.0,769826123.0
HAQM Lào,Trả trước cho người bán ngắn hạn (TM số 6) > HAQM Lào,HAQM Lào,Mua hàng hóa,658.304.204,660.568.437,,658304204.0,660568437.0
Thaco,Trả trước cho người bán ngắn hạn (TM số 6) > Thaco,Thaco,Mua hàng hóa,198.415.498,-,,198415498.0,
Thiso,Thiso,Thiso,Mua hàng hóa,-,-,,,
XNK HAGL,Thiso > XNK HAGL,XNK HAGL,Mua hàng hóa,-,173.688.397,,,173688397.0
HA Lumphat,Thiso > HA Lumphat,HA Lumphat,Mua hàng hóa,-,40.310,,,40310.0
TỔNG CỘNG,Thiso > TỔNG CỘNG,TỔNG CỘNG,,1.621.544.078,1.604.123.267,,1621544078.0,1604123267.0
Phải thu về cho vay ngắn hạn (*) (TM số 7),Phải thu về cho vay ngắn hạn (*) (TM số 7),Phải thu về cho vay ngắn hạn (*) (TM số 7),Phải thu về cho vay ngắn hạn (*) (TM số 7),Phải thu về cho vay ngắn hạn (*) (TM số 7),Phải thu về cho vay ngắn hạn (*) (TM số 7),,,
HA Attapeu,Phải thu về cho vay ngắn hạn (*) (TM số 7) > HA Attapeu,HA Attapeu,Cho vay,3.895.266.640,2.502.178.706,,3895266640.0,2502178706.0
HA Rattanakiri,Phải thu về cho vay ngắn hạn (*) (TM số 7) > HA Rattanakiri,HA Rattanakiri,Cho vay,805.908.354,291.708.400,,805908354.0,291708400.0
HAQM Lào,Phải thu về cho vay ngắn hạn (*) (TM số 7) > HAQM Lào,HAQM Lào,Cho vay,619.432.694,384.815.315,,619432694.0,384815315.0
HA Oyadav,Phải thu về cho vay ngắn hạn (*) (TM số 7) > HA Oyadav,HA Oyadav,Cho vay,591.431.340,455.028.340,,591431340.0,455028340.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (*) (TM số 7) > TỔNG CỘNG,TỔNG CỘNG,,5.912.039.028,3.633.730.761,,5912039028.0,3633730761.0
