row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận chuyển,Thiết bị văn phòng,Ngàn VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận chuyển,numeric__Thiết bị văn phòng,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Số đầu năm,Số đầu năm,873.865(563.210),5.701.139-,2.966.173-,9.541.177(563.210),,,,
Thanh lý trong năm,Thanh lý trong năm,Thanh lý trong năm,873.865(563.210),5.701.139-,2.966.173-,9.541.177(563.210),,,,
Số cuối năm,Thanh lý trong năm > Số cuối năm,Số cuối năm,310.655,5.701.139,2.966.173,8.977.967,310655.0,5701139.0,2966173.0,8977967.0
Trong đó:Đã khấu hao hết,Thanh lý trong năm > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,310.655,4.311.791,322.183,4.944.629,310655.0,4311791.0,322183.0,4944629.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,(873.865),(5.205.795)(192.950),(2.025.981)(528.800),(8.105.641)(721.750),-873865.0,,,
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(873.865),(5.205.795)(192.950),(2.025.981)(528.800),(8.105.641)(721.750),-873865.0,,,
Thanh lý trong năm,Khấu hao lũy kế > Thanh lý trong năm,Thanh lý trong năm,563.210,-,-,563.210,563210.0,,,563210.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,(310.655),(5.398.745),(2.554.781),(8.264.181),-310655.0,-5398745.0,-2554781.0,-8264181.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,495.344,940.192,1.435.536,,495344.0,940192.0,1435536.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,302.394,411.392,713.786,,302394.0,411392.0,713786.0
