row_label_raw,row_label_full,Chỉ tiêu,BCTC năm2023 đã được kiểm toán,BCTC năm2022 đã được kiểm toán,Chênh lệch,numeric__BCTC năm2023 đã được kiểm toán,numeric__BCTC năm2022 đã được kiểm toán,numeric__Chênh lệch
Lợi nhuận sau thuế trên BCTC tổng hợp,Lợi nhuận sau thuế trên BCTC tổng hợp,Lợi nhuận sau thuế trên BCTC tổng hợp,"95,7","222,9","(127,2)",95.7,222.9,-127.2
Lỗ sau thuế trên BCTC hợp nhất,Lỗ sau thuế trên BCTC hợp nhất,Lỗ sau thuế trên BCTC hợp nhất,"(1.098,4)","(3.576,4)","2.478,0",-1098.4,-3576.4,2478.0
