row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Ngân VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Ngân VNDNăm trước
Thaco Agri,Thaco Agri,Thaco Agri,VayMua hàng hóaLãi vayTrả gốc vayBán hàng hóaCấn trừ công nợMượn tiền,2.507.117.600322.763.069415.243.040169.100.000135.746.32955.516.3348.000.000,2.690.589.599629.722.562137.985.95472.629.070197.645.440150.859.213-,,2.507117600322763e+60,
HA Rattanakiri,HA Rattanakiri,HA Rattanakiri,Cấn trừ công nợLãi cho vay,205.195.12048.978.380,-45.109.208,,2.051951204897838e+16,-45109208.0
HA Oyadav,HA Oyadav,HA Oyadav,Góp vốnCấn trừ công nợLãi cho vayChi hộCho vayBán hàng hóa,231.890.991192.545.53066.625.266284.980-,--56.475.6046.232.6855.183.35118.191.087,,,5.647560462326855e+29
HA Attapeu,HA Attapeu,HA Attapeu,Cấn trừ nợ gốc vayBán hàng hóa vàcung cấp dịch vụLãi cho vayCho vayChi hộMua hàng hóa,398.329.719321.355.346367.780.157170.439.778165.780.58374.452.177,44.264.328663.943.635258.472.295716.510.507170.427.298109.449.409,,3.9832971932135537e+52,4.4264328663943633e+52
HAG,HAG,HAG,Trả gốc vayCấn trừ nợ gốc vay,400.000.000185.859,600.000.0003.578.369,,400000000185859.0,6000000003578369.0
CRD,CRD,CRD,Cấn trừ công nợBán hàng hóa,68.208.415-,6.033.17810.595.486,,,603317810595486.0
HAQM Lào,HAQM Lào,HAQM Lào,Mua hàng hóaLãi cho vayChi hộ,53.478.38237.477.0391.000.000,78.217.75133.348.1784.445.934,,5.347838237477039e+22,7.821775133348178e+22
Bidiphar,Bidiphar,Bidiphar,Thu tiền cổ tứcCổ tức được chia,52.289.11526.144.558,-26.144.558,,5228911526144558.0,-26144558.0
Thaco Phân phối,Thaco Phân phối,Thaco Phân phối,Mua hàng hóa,12.286.111,22.500.000,,12286111.0,22500000.0
Thilogi,Thilogi,Thilogi,Mua dịch vụ,5.581.303,-,,5581303.0,
Thaco Chuyên dụng,Thaco Chuyên dụng,Thaco Chuyên dụng,Mua hàng hóa,2.082.220,-,,2082220.0,
Heng Brothers,Heng Brothers,Heng Brothers,Cấn trừ công nợ,6.878,3.426.577,,6878.0,3426577.0
Cơ khí Chu Lai,Cơ khí Chu Lai,Cơ khí Chu Lai,Mua hàng hóa,-,2.341.702,,,2341702.0
Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Cấn trừ công nợ,-,3.578.369,,,3578369.0
HA Andong Meas,HA Andong Meas,HA Andong Meas,Cấn trừ công nợ,-,148.130.637,,,148130637.0
