row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,287.032.617.231,6.713.350.648,22.870.897.075,5294000000000.0,287032617231.0,6713350648.0,22870897075.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,708.078.630.765,4.381.549.447,,,708078630765.0,4381549447.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,85.605.247.988,(85.605.247.988),-,,85605247988.0,-85605247988.0,
"Trích Quỹ khen thường, phúc lợi","Trích Quỹ khen thường, phúc lợi","Trích Quỹ khen thường, phúc lợi",-,-,(85.773.133.714),(913.331.832),,,-85773133714.0,-913331832.0
Chia cổ tức cho cổ đông không kiểm soát của Công ty con,Chia cổ tức cho cổ đông không kiểm soát của Công ty con,Chia cổ tức cho cổ đông không kiểm soát của Công ty con,-,-,-,(3.197.800.000),,,,-3197800000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,372.637.865.219,543.413.599.711,23.141.314.690,5294000000000.0,372637865219.0,543413599711.0,23141314690.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,619.831.354.510,4.508.467.538,,,619831354510.0,4508467538.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,75.000.693.487,(75.000.693.487),-,,75000693487.0,-75000693487.0,
"Trích Quỹ khen thường, phúc lợi (i)","Trích Quỹ khen thường, phúc lợi (i)","Trích Quỹ khen thường, phúc lợi (i)",-,-,(84.675.722.036),(758.971.212),,,-84675722036.0,-758971212.0
Chuyễn trả tiền cổ phần hóa,Chuyễn trả tiền cổ phần hóa,Chuyễn trả tiền cổ phần hóa,-,(286.574.832.277),-,-,,-286574832277.0,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(635.280.000.000),-,,,-635280000000.0,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,161.063.726.429,368.288.538.698,26.890.811.016,5294000000000.0,161063726429.0,368288538698.0,26890811016.0
