row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Từ ngày 15/01/2015đến ngày 31/12/2015,numeric__Mã số,numeric__Năm nay,numeric__Từ ngày 15/01/2015đến ngày 31/12/2015
Chuyển số dư Quỹ Đầu tư phát triển về Tập đoàn,2. Điều chỉnh cho các khoản: > Chuyển số dư Quỹ Đầu tư phát triển về Tập đoàn,Chuyển số dư Quỹ Đầu tư phát triển về Tập đoàn,,(286.574.832.277),-,,-286574832277.0,
Chuyển tiền bán cố phân về Tập đoàn,2. Điều chỉnh cho các khoản: > Chuyển tiền bán cố phân về Tập đoàn,Chuyển tiền bán cố phân về Tập đoàn,,-,(1.581.808.975.597),,,-1581808975597.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.086.949.475.754,321.308.965.368,20.0,1086949475754.0,321308965368.0
II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chỉ mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","1. Tiền chỉ mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,(172.907.748.871),(157.724.934.512),21.0,-172907748871.0,-157724934512.0
"2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,-,354.577.637,22.0,,354577637.0
"3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,(5.100.000.000.000),(3.963.556.166.262),23.0,-5100000000000.0,-3963556166262.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,5.502.555.555.556,4.427.282.094.080,24.0,5502555555556.0,4427282094080.0
"5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,164.284.492.616,164.044.760.321,27.0,164284492616.0,164044760321.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,393.932.299.301,470.400.331.264,30.0,393932299301.0,470400331264.0
