row_label_raw,row_label_full,Chi phí phải trả Tập đoàn Dầu khí Việt Nam > - Tiền khí phải trả tạm tính cho kỳ hoạt động từ ngày 01 tháng 01 năm 2014 đến ngày 31 tháng 12 năm 2014 > - Tiền khí phải trả tạm tính cho kỳ hoạt động từ ngày 15 tháng 01 năm 2015 đến ngày 31 tháng 12 năm 2015,Số cuối nămVND > -,Số đầu nămVND > 261.721.055.666 > 163.962.886.631 > 97.758.169.035,numeric__Số cuối nămVND > -,numeric__Số đầu nămVND > 261.721.055.666 > 163.962.886.631 > 97.758.169.035
Lãi vay phải trả,Lãi vay phải trả,Lãi vay phải trả,58.538.290.059,56.764.718.316,58538290059.0,56764718316.0
Chi phí bảo lãnh phải trả,Chi phí bảo lãnh phải trả,Chi phí bảo lãnh phải trả,3.948.609.528,4.217.691.813,3948609528.0,4217691813.0
Chi phí bảo hiểm và phúc lợi,Chi phí bảo hiểm và phúc lợi,Chi phí bảo hiểm và phúc lợi,-,16.387.000.000,,16387000000.0
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,5.388.759.449,3.601.518.321,5388759449.0,3601518321.0
,,,67.875.659.036,342.691.984.116,67875659036.0,342691984116.0
Chi phí phải trả các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 34),Chi phí phải trả các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 34),Chi phí phải trả các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 34),-,261.721.055.666,,261721055666.0
