row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải và thiết bị truyền dẫn,Thiết bị văn phòng,Tài sản cố định khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải và thiết bị truyền dẫn,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,3.242.652.668.990,10.272.377.836.062,53.400.164.384,50.946.875.552,58.688.591.244,13.678.066.136.232,3242652668990.0,10272377836062.0,53400164384.0,50946875552.0,58688591244.0,13678066136232.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,123.590.615.088,6.935.094.850,-,-,-,130.525.709.938,123590615088.0,6935094850.0,,,,130525709938.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,9.003.234.501,34.317.513.322,5.278.728.740,5.431.061.169,-,54.030.537.732,9003234501.0,34317513322.0,5278728740.0,5431061169.0,,54030537732.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(852.217.272),-,-,-,-,(852.217.272),-852217272.0,,,,,-852217272.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,3.374.394.301.307,10.313.630.444.234,58.678.893.124,56.377.936.721,58.688.591.244,13.861.770.166.630,3374394301307.0,10313630444234.0,58678893124.0,56377936721.0,58688591244.0,13861770166630.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.053.129.972.067,2.781.043.053.898,26.060.564.925,21.933.451.348,15.758.760.121,3.897.925.802.359,1053129972067.0,2781043053898.0,26060564925.0,21933451348.0,15758760121.0,3897925802359.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,295.223.404.928,958.567.858.993,9.111.074.089,9.231.974.828,595.083.310,1.272.729.396.148,295223404928.0,958567858993.0,9111074089.0,9231974828.0,595083310.0,1272729396148.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(852.217.272),-,-,-,-,(852.217.272),-852217272.0,,,,,-852217272.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.347.501.159.723,3.739.610.912.891,35.171.639.014,31.165.426.176,16.353.843.431,5.169.802.981.235,1347501159723.0,3739610912891.0,35171639014.0,31165426176.0,16353843431.0,5169802981235.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.026.893.141.584,6.574.019.531.343,23.507.254.110,25.212.510.545,42.334.747.813,8.691.967.185.395,2026893141584.0,6574019531343.0,23507254110.0,25212510545.0,42334747813.0,8691967185395.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.189.522.696.923,7.491.334.782.164,27.339.599.459,29.013.424.204,42.929.831.123,9.780.140.333.873,2189522696923.0,7491334782164.0,27339599459.0,29013424204.0,42929831123.0,9780140333873.0
