row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Từ ngày 15/01/2015 đến ngày 31/12/2015,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Từ ngày 15/01/2015 đến ngày 31/12/2015
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,24,4.971.748.943.654,5.669.707.612.058,1.0,24.0,4971748943654.0,5669707612058.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,24,61.578.260.352,87.468.200.037,2.0,24.0,61578260352.0,87468200037.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,4.910.170.683.302,5.582.239.412.021,10.0,,4910170683302.0,5582239412021.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,25,3.595.507.736.544,3.950.628.153.058,11.0,25.0,3595507736544.0,3950628153058.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.314.662.946.758,1.631.611.258.963,20.0,,1314662946758.0,1631611258963.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,27,281.352.006.888,226.410.038.132,21.0,27.0,281352006888.0,226410038132.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,28,432.719.478.011,663.674.008.733,22.0,28.0,432719478011.0,663674008733.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,206.622.388.743,232.444.268.230,23.0,,206622388743.0,232444268230.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,29,275.833.011.237,276.442.817.062,25.0,29.0,275833011237.0,276442817062.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,29,254.753.830.327,205.377.286.383,26.0,29.0,254753830327.0,205377286383.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,632.708.634.071,712.527.184.917,30.0,,632708634071.0,712527184917.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,30,26.209.791.117,6.845.641.304,31.0,30.0,26209791117.0,6845641304.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,30,27.031.577,4.574.358.241,32.0,30.0,27031577.0,4574358241.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,,26.182.759.540,2.271.283.063,40.0,,26182759540.0,2271283063.0
14. Tổng lợi nhuận kể toán trước thuế (50=30+40),14. Tổng lợi nhuận kể toán trước thuế (50=30+40),14. Tổng lợi nhuận kể toán trước thuế (50=30+40),50,,658.891.393.611,714.798.467.980,50.0,,658891393611.0,714798467980.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,31,34.551.571.563,2.338.287.768,51.0,31.0,34551571563.0,2338287768.0
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,624.339.822.048,712.460.180.212,60.0,,624339822048.0,712460180212.0
16.1. Lợi nhuận sau thuế của cổ đông Công ty mẹ,16.1. Lợi nhuận sau thuế của cổ đông Công ty mẹ,16.1. Lợi nhuận sau thuế của cổ đông Công ty mẹ,61,,619.831.354.510,708.078.630.765,61.0,,619831354510.0,708078630765.0
16.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,16.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,16.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,4.508.467.538,4.381.549.447,62.0,,4508467538.0,4381549447.0
17. Lãi cơ bản trên cổ phiếu,17. Lãi cơ bản trên cổ phiếu,17. Lãi cơ bản trên cổ phiếu,70,32,1.011,1.175,70.0,32.0,1011.0,1175.0
