row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,7.116.808.808.039,8.245.426.462.266,,300.0,,7116808808039.0,8245426462266.0
I.,I.,I.,Nợ ngắn hạn,310,,2.535.800.653.695,2.424.036.133.222,,310.0,,2535800653695.0,2424036133222.0
I.,I.,I.,1. Phải trả người bán ngắn hạn,311,15,688.405.588.269,298.270.780.042,,311.0,15.0,688405588269.0,298270780042.0
I.,I.,I.,2. Người mua trả tiền trước ngắn hạn,312,16,64.450.940.342,153.444.525.172,,312.0,16.0,64450940342.0,153444525172.0
I.,I.,I.,3. Thuế và các khoản phải nộp Nhà nước,313,17,3.374.874.622,6.319.345.837,,313.0,17.0,3374874622.0,6319345837.0
I.,I.,I.,4. Phải trả người lao động,314,,47.541.974.859,69.044.339.084,,314.0,,47541974859.0,69044339084.0
I.,I.,I.,5. Chỉ phí phải trả ngắn hạn,315,18,67.875.659.036,342.691.984.116,,315.0,18.0,67875659036.0,342691984116.0
I.,I.,I.,6. Phải trả ngắn hạn khác,319,19,248.030.850.984,205.977.072.683,,319.0,19.0,248030850984.0,205977072683.0
I.,I.,I.,7. Vay và nợ thuê tài chính ngắn hạn,320,20,1.359.162.384.314,1.319.172.808.870,,320.0,20.0,1359162384314.0,1319172808870.0
I.,I.,I.,"8. Quỹ khen thưởng, phúc lợi",322,,56.958.381.269,29.115.277.418,,322.0,,56958381269.0,29115277418.0
II.,II.,II.,Nợ dài hạn,330,,4.581.008.154.344,5.821.390.329.044,,330.0,,4581008154344.0,5821390329044.0
II.,II.,II.,1. Phải trả dài hạn khác,337,19,1.055.667.075,33.175.238.300,,337.0,19.0,1055667075.0,33175238300.0
II.,II.,II.,2. Vay và nợ thuê tài chính dài hạn,338,20,4.538.380.155.040,5.753.087.866.042,,338.0,20.0,4538380155040.0,5753087866042.0
II.,II.,II.,3. Quỹ phát triển khoa học và công nghệ,343,,41.572.332.229,35.127.224.702,,343.0,,41572332229.0,35127224702.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,5.850.243.076.143,6.233.192.779.620,,400.0,,5850243076143.0,6233192779620.0
I.,I.,I.,Vốn chủ sở hữu,410,21,5.850.243.076.143,6.233.192.779.620,,410.0,21.0,5850243076143.0,6233192779620.0
I.,I.,I.,1. Vốn góp của chủ sở hữu,411,,5.294.000.000.000,5.294.000.000.000,,411.0,,5294000000000.0,5294000000000.0
I.,I.,I.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,5.294.000.000.000,5.294.000.000.000,,,,5294000000000.0,5294000000000.0
I.,I.,I.,2. Quỹ đầu tư phát triển,418,,161.063.726.429,372.637.865.219,,418.0,,161063726429.0,372637865219.0
I.,I.,I.,3. Lợi nhuận sau thuế chưa phân phối,421,,368.288.538.698,543.413.599.711,,421.0,,368288538698.0,543413599711.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối năm trước,421a,,570.337.282,1.645.600.058,,,,570337282.0,1645600058.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,367.718.201.416,541.767.999.653,,,,367718201416.0,541767999653.0
I.,I.,I.,4. Lợi ích cổ đông không kiểm soát,429,,26.890.811.016,23.141.314.690,,429.0,,26890811016.0,23141314690.0
TỔNG CÔNG NGUỒN VỐN (440 = 300 + 400),TỔNG CÔNG NGUỒN VỐN (440 = 300 + 400),TỔNG CÔNG NGUỒN VỐN (440 = 300 + 400),TỔNG CÔNG NGUỒN VỐN (440 = 300 + 400),440,,12.967.051.884.182,14.478.619.241.886,,440.0,,12967051884182.0,14478619241886.0
