row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,
Chi phí hoa hồng môi giới,Chi phí bán hàng > Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,95.133,268.504,95133.0,268504.0
Chi phí quảng cáo,Chi phí bán hàng > Chi phí quảng cáo,Chi phí quảng cáo,73.345,40.726,73345.0,40726.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,462,12.719,462.0,12719.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,168.940,321.949,168940.0,321949.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,
Trích lập các khoản dự phòng phải thu và dự phòng phải trả (i),Chi phí quản lý doanh nghiệp > Trích lập các khoản dự phòng phải thu và dự phòng phải trả (i),Trích lập các khoản dự phòng phải thu và dự phòng phải trả (i),3.331.678,1.827.273,3331678.0,1827273.0
Chi phí từ thiện,Chi phí quản lý doanh nghiệp > Chi phí từ thiện,Chi phí từ thiện,1.501.910,830.690,1501910.0,830690.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,44.751,369.337,44751.0,369337.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,4.878.339,3.027.300,4878339.0,3027300.0
