row_label_raw,row_label_full,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm trước
3.469.500,3.469.500,3.469.500,-,
1.494.195,3.469.500 > 1.494.195,1.494.195,1.200.000,1200000.0
-,3.469.500 > -,-,430.500,430500.0
1.050.600,3.469.500 > 1.050.600,1.050.600,373.000,373000.0
789.350,3.469.500 > 789.350,789.350,997.000,997000.0
230.000,230.000,230.000,-,
8.450.000,230.000 > 8.450.000,8.450.000,4.733.620,4733620.0
3.000.000,3.000.000,3.000.000,-,
-,3.000.000 > -,-,7.553.966,7553966.0
1.740.000,3.000.000 > 1.740.000,1.740.000,10.000,10000.0
151.176,151.176,151.176,-,
-,151.176 > -,-,378.000,378000.0
-,151.176 > -,-,378.000,378000.0
10.553.649,151.176 > 10.553.649,10.553.649,737.500,737500.0
2.142.179,2.142.179,2.142.179,-,
2.142.179,2.142.179,2.142.179,-,
12.781.927,2.142.179 > 12.781.927,12.781.927,8.219.000,8219000.0
792.543,792.543,792.543,-,
620.341,620.341,620.341,-,
207.083,620.341 > 207.083,207.083,169.652,169652.0
131.447,131.447,131.447,-,
-,131.447 > -,-,1.240.682,1240682.0
