row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số đầu năm > Tăng,Số phát sinh trong năm > Giảm,Số phát sinh trong năm > Số cuối năm,Đơn vị tính: triệu VND,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số phát sinh trong năm > Số cuối năm,numeric__Đơn vị tính: triệu VND
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,23.2.1,3.091.865,1.656.118,(3.100.000),1.647.983,,2321.0,3091865.0,1656118.0,-3100000.0,1647983.0,
Vay dài hạn đến hạn trả của khoản vay hợp vốn,Vay dài hạn đến hạn trả của khoản vay hợp vốn,Vay dài hạn đến hạn trả của khoản vay hợp vốn,23.2.2,1.368.300,3.692.507,(1.368.300),3.692.507,,2322.0,1368300.0,3692507.0,-1368300.0,3692507.0,
Vay các bên liên quan ngắn hạn,Vay các bên liên quan ngắn hạn,Vay các bên liên quan ngắn hạn,33.4,-,36.543.053,(33.073.553),3.469.500,,334.0,,36543053.0,-33073553.0,3469500.0,
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,,-,308.708,(308.708),-,,,,308708.0,-308708.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,4.460.165,42.200.386,(37.850.561),8.809.990,,,4460165.0,42200386.0,-37850561.0,8809990.0,
23.2 Vay dài hạn,23.2 Vay dài hạn,23.2 Vay dài hạn,,,,,,,,,,,,
,,,,Số đầu năm,Số đầu năm,Số phát sinh trong năm,Số phát sinh trong năm,Đơn vị tính: triệu VND,,,,,,
,,,Thuyết minh,Giá trị đồng thời là số có khả năng trả nợ,Tăng,Giảm,Số cuối năm,Đơn vị tính: triệu VND,,,,,,
Trái phiếu phát hành trong nước,23.2 Vay dài hạn > Trái phiếu phát hành trong nước,Trái phiếu phát hành trong nước,23.2.1,5.955.618,20.194,(2.947.983),3.027.829,,2321.0,5955618.0,20194.0,-2947983.0,3027829.0,
Khoản vay hợp vốn,23.2 Vay dài hạn > Khoản vay hợp vốn,Khoản vay hợp vốn,23.2.2,9.193.016,159.885,(3.692.565),5.660.336,,2322.0,9193016.0,159885.0,-3692565.0,5660336.0,
Vay các bên liên quan dài hạn,23.2 Vay dài hạn > Vay các bên liên quan dài hạn,Vay các bên liên quan dài hạn,33.4,-,7.739.700,(3.889.695),3.850.005,,334.0,,7739700.0,-3889695.0,3850005.0,
TỔNG CỘNG,23.2 Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,15.148.634,7.919.779,(10.530.243),12.538.170,,,15148634.0,7919779.0,-10530243.0,12538170.0,
