row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu trong năm,Đơn vị tính: triệu VND > Số đã thu trong năm,Đơn vị tính: triệu VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải thu trong năm,numeric__Đơn vị tính: triệu VND > Số đã thu trong năm,numeric__Đơn vị tính: triệu VND > Số cuối năm
Phải thu,Phải thu,Phải thu,,,,,,,,
Thuế thu nhập cá nhân nộp thừa,Phải thu > Thuế thu nhập cá nhân nộp thừa,Thuế thu nhập cá nhân nộp thừa,-,4.956,-,4.956,,4956.0,,4956.0
Thuế thu nhập doanh nghiệp nộp thừa,Phải thu > Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,-,783.980,-,783.980,,783980.0,,783980.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,-,788.936,-,788.936,,788936.0,,788936.0
,,,Số đầu năm,Số phải nộp trong năm,Số đã nộp/cán trừ trong năm,Số cuối năm,,,,
Phải nộp,Phải nộp,Phải nộp,,,,,,,,
"Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Phải nộp > Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao",1.209.676,108.271,(225.990),1.091.957,1209676.0,108271.0,-225990.0,1091957.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,823.659,648.947,(1.468.916),3.690,823659.0,648947.0,-1468916.0,3690.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.260,248.272,(187.829),63.703,3260.0,248272.0,-187829.0,63703.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,10.978,101.276,(111.981),273,10978.0,101276.0,-111981.0,273.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,2.526,59.707,(58.863),3.370,2526.0,59707.0,-58863.0,3370.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,2.050.099,1.166.473,(2.053.579),1.162.993,2050099.0,1166473.0,-2053579.0,1162993.0
