row_label_raw,row_label_full,Đối tượng nợ,Số cuối năm,Số cuối năm > Giá trị có thể,Đơn vị tính: triệu VND > Số đầu năm,Đơn vị tính: triệu VND > Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị có thể,numeric__Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm_1
Đối tượng nợ,Đối tượng nợ,Đối tượng nợ,Giá gốc,thu hồi,Giá gốc,thu hồi,,,,
Công ty con số 1,Đối tượng nợ > Công ty con số 1,Công ty con số 1,-,-,2.084.000,256.728,,,2084000.0,256728.0
Công ty con số 2,Đối tượng nợ > Công ty con số 2,Công ty con số 2,579.348,-,-,-,579348.0,,,
