row_label_raw,row_label_full,Bên liên quan > Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty Vinpearl > Công ty Vinsmart > Công ty Vinfast > Các công ty khác,Mối quan hệ > Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty con,Số cuối năm (Triệu VND) > Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > 8.427.714 > 1.754.702 > 1.550.583 > 1.706.512,"Lãi suất %/năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > 9,00",Ngày đáo hạn > Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Tháng 12 năm 2021 > Từ tháng 9 đến tháng 12 năm 2021 > Tháng 12 năm 2021,numeric__Mối quan hệ > Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty con,numeric__Số cuối năm (Triệu VND) > Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > 8.427.714 > 1.754.702 > 1.550.583 > 1.706.512,"numeric__Lãi suất %/năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > 9,00",numeric__Ngày đáo hạn > Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Tháng 12 năm 2021 > Từ tháng 9 đến tháng 12 năm 2021 > Tháng 12 năm 2021
,,,,13.439.511,,,,13439511.0,,
Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),,,,
Công ty Thời Đại,Phải thu về cho vay dài hạn (Thuyết minh số 7) > Công ty Thời Đại,Công ty Thời Đại,Công ty con,106.586,"9,00",Từ tháng 4 đến tháng 6 năm 2022,,106586.0,9.0,
,,,,106.586,,,,106586.0,,
