row_label_raw,row_label_full,Số đầu năm > Tăng trong năm > Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14) > Chuyển sang bất động sản đầu tư(Thuyết minh số 15),Đơn vị tính: triệu VND > Năm nay > 3.801.071 > 661.506 > (39.435) > (132.700),Đơn vị tính: triệu VND > Năm trước > 3.399.298 > 2.204.648 > - > (1.487.500),numeric__Đơn vị tính: triệu VND > Năm nay > 3.801.071 > 661.506 > (39.435) > (132.700),numeric__Đơn vị tính: triệu VND > Năm trước > 3.399.298 > 2.204.648 > - > (1.487.500)
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(940.786),(315.375),-940786.0,-315375.0
Số cuối năm,Số cuối năm,Số cuối năm,3.349.656,3.801.071,3349656.0,3801071.0
