row_label_raw,row_label_full,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 1,Số cuối năm > Nguyên tệ > USD,Số cuối năm > Triệu VND > 3.224.669,Ngày đáo hạn > Từ tháng 1 năm 2021 đến tháng 7 năm 2021,Tài sản đảm bảo > (i),numeric__Số cuối năm > Nguyên tệ > USD,numeric__Số cuối năm > Triệu VND > 3.224.669,numeric__Ngày đáo hạn > Từ tháng 1 năm 2021 đến tháng 7 năm 2021,numeric__Tài sản đảm bảo > (i)
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,3.224.669,,,,3224669.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Các bên thu xếp tín dụng của khoản vay hợp vốn 2,USD,6.128.174,Từ tháng 11 năm 2021 đến tháng 11 năm 2024,(i),,6128174.0,,
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,467.838,,,,467838.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,9.352.843,,,,9352843.0,,
Trong đó:Vay dài hạn,Trong đó:Vay dài hạn,Trong đó:Vay dài hạn,,5.660.336,,,,5660336.0,,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,3.692.507,,,,3692507.0,,
