row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,,,,
Cán trừ công nợ hoạt động tài chính với đầu tư,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ: > Cán trừ công nợ hoạt động tài chính với đầu tư,Cán trừ công nợ hoạt động tài chính với đầu tư,-,(1.378.000),,-1378000.0
TỔNG CỘNG,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ: > TỔNG CỘNG,TỔNG CỘNG,-,(1.378.000),,-1378000.0
Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,,,,
Tiền thu từ đi vay theo khế ước thông thường,Số tiền đi vay thực thu trong năm: > Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,24.797.251,9.564.164,24797251.0,9564164.0
Tiền thu từ phát hành trái phiếu thường,Số tiền đi vay thực thu trong năm: > Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,-,980.000,,980000.0
TỔNG CỘNG,Số tiền đi vay thực thu trong năm: > TỔNG CỘNG,TỔNG CỘNG,24.797.251,10.544.164,24797251.0,10544164.0
Số tiền đã thực trả gốc vay trong năm:,Số tiền đã thực trả gốc vay trong năm:,Số tiền đã thực trả gốc vay trong năm:,,,,
Tiền trả nợ gốc vay theo khế ước thông thường,Số tiền đã thực trả gốc vay trong năm: > Tiền trả nợ gốc vay theo khế ước thông thường,Tiền trả nợ gốc vay theo khế ước thông thường,(14.089.861),(2.194.506),-14089861.0,-2194506.0
Tiền trả nợ gốc trái phiếu thường,Số tiền đã thực trả gốc vay trong năm: > Tiền trả nợ gốc trái phiếu thường,Tiền trả nợ gốc trái phiếu thường,(3.300.000),(7.797.263),-3300000.0,-7797263.0
TỔNG CỘNG,Số tiền đã thực trả gốc vay trong năm: > TỔNG CỘNG,TỔNG CỘNG,(17.389.861),(9.991.769),-17389861.0,-9991769.0
