row_label_raw,row_label_full,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
9.029,9.029,9.029,5.847,5847.0
5.836,5.836,5.836,153.576,153576.0
19.955,19.955,19.955,46.606,46606.0
34.820,34.820,34.820,206.029,206029.0
Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,
Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,
57.712,57.712,57.712,-,
56.155,56.155,56.155,-,
5.637,56.155 > 5.637,5.637,17.639,17639.0
23.004,56.155 > 23.004,23.004,13.694,13694.0
142.508,56.155 > 142.508,142.508,31.333,31333.0
