row_label_raw,row_label_full,STT,Tên đơn vị,Thuyết minh,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý,Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp (*** ),Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý,numeric__Tên đơn vị,numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp (*** ),numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý
1,1,1,Công ty Vinhomes,,2.333.164.250,22.981.447,208.818.200,"70,93%",2.333.164.250,22.981.447,197.852.328,,,2333164250.0,22981447.0,208818200.0,0.7093,2333164250.0,22981447.0,197852328.0
2,2,2,Công ty Vinfast,(1); (2),(*),20.057.336,(**),"51,52%",(*),12.846.600,(**),,,,20057336.0,,0.5152,,12846600.0,
3,3,3,Công ty Vinpearl,(1); (2); (3),913.271.334,16.991.680,(**),"68,21%",325.579.794,9.625.516,(**),,,913271334.0,16991680.0,,0.6820999999999999,325579794.0,9625516.0,
4,4,4,Công ty VMC Holding,(4),592.811.488,5.928.115,(**),"74,52%",-,-,-,,-4.0,592811488.0,5928115.0,,0.7452,,,
5,5,5,Công ty Vingroup Investment Việt Nam,(1); (3),401.838.000,4.018.380,(**),"99,23%",-,-,-,,,401838000.0,4018380.0,,0.9923000000000001,,,
6,6,6,Công ty Vincom Retail,,427.715.101,3.501.335,13.430.254,"18,82%",427.715.102,3.501.335,14.542.313,,,427715101.0,3501335.0,13430254.0,0.1882,427715102.0,3501335.0,14542313.0
7,7,7,Công ty Vinsmart,(1),310.170.500,3.101.705,(**),"62,03%",248.136.400,2.481.364,(**),,-1.0,310170500.0,3101705.0,,0.6203,248136400.0,2481364.0,
8,8,8,Công ty SADO,(2),205.884.334,3.098.884,(**),"99,52%",-,-,-,,-2.0,205884334.0,3098884.0,,0.9952,,,
9,9,9,Công ty One Mount Group,(1),230.330.053,2.306.669,(**),"51,22%",156.062.254,1.563.966,(**),,-1.0,230330053.0,2306669.0,,0.5122,156062254.0,1563966.0,
10,10,10,Công ty Xavinco,,190.875.000,2.071.029,(**),"95,44%",190.875.000,2.071.029,(**),,,190875000.0,2071029.0,,0.9544,190875000.0,2071029.0,
11,11,11,Công ty Vinpearl Invest,(1); (2); (3),69.343.390,1.901.422,(**),"69,69%",-,-,-,,,69343390.0,1901422.0,,0.6969,,,
12,12,12,Công ty VinAcademy,,(*),1.692.000,(**),"94,00%",(*),1.692.000,(**),,,,1692000.0,,0.94,,1692000.0,
13,13,13,Công ty Triển lâm Việt Nam,,138.810.945,1.395.330,12.028.894,"83,32%",138.810.945,1.395.330,16.090.039,,,138810945.0,1395330.0,12028894.0,0.8331999999999999,138810945.0,1395330.0,16090039.0
14,14,14,Công ty Vinmec,(4),-,-,-,-,443.391.992,4.433.920,(**),,-4.0,,,,,443391992.0,4433920.0,
15,15,15,Công ty Sài Đồng,(2); (3),-,-,-,-,107.400.300,2.107.005,12.084.324,,,,,,,107400300.0,2107005.0,12084324.0
16,16,16,"Công ty TNHH Kinh doanh và phát triển đô thị Nam Hà Nội (""Công ty Nam Hà Nội"")",(2),-,-,-,-,(*),1.568.885,(**),,-2.0,,,,,,1568885.0,
17,17,17,Các công ty con khác,,,6.582.540,,,,6.103.149,,,,,6582540.0,,,,6103149.0,
,,,TỔNG CỘNG,,,95.627.872,,,,72.371.546,,,,,95627872.0,,,,72371546.0,
,,,Dự phòng đầu tư vào các công ty con,,,(8.039.760),,,,(3.624.723),,,,,-8039760.0,,,,-3624723.0,
