row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn(Thuyết minh số 23.1) > Công ty Vinmec (i),Mối quan hệ > Vay ngắn hạn(Thuyết minh số 23.1) > Công ty con,Số cuối nămTriệu VND > Vay ngắn hạn(Thuyết minh số 23.1) > 3.469.500,"Lãi suất%/năm > Vay ngắn hạn(Thuyết minh số 23.1) > 9,00",Ngày đáo hạn > Vay ngắn hạn(Thuyết minh số 23.1) > Tháng 6 năm 2021,numeric__Mối quan hệ > Vay ngắn hạn(Thuyết minh số 23.1) > Công ty con,numeric__Số cuối nămTriệu VND > Vay ngắn hạn(Thuyết minh số 23.1) > 3.469.500,"numeric__Lãi suất%/năm > Vay ngắn hạn(Thuyết minh số 23.1) > 9,00",numeric__Ngày đáo hạn > Vay ngắn hạn(Thuyết minh số 23.1) > Tháng 6 năm 2021
,,,,3.469.500,,,,3469500.0,,
Vay dài hạn(Thuyết minh số 23.2),Vay dài hạn(Thuyết minh số 23.2),Vay dài hạn(Thuyết minh số 23.2),Vay dài hạn(Thuyết minh số 23.2),Vay dài hạn(Thuyết minh số 23.2),Vay dài hạn(Thuyết minh số 23.2),Vay dài hạn(Thuyết minh số 23.2),,,,
Công ty VinAcademy(i),Vay dài hạn(Thuyết minh số 23.2) > Công ty VinAcademy(i),Công ty VinAcademy(i),Công ty con,2.081.000,"9,00",Tháng 7 năm 2022,,2081000.0,9.0,
Công ty VinBus (i),Vay dài hạn(Thuyết minh số 23.2) > Công ty VinBus (i),Công ty VinBus (i),Công ty con,709.800,"9,00",Tháng 7 năm 2022,,709800.0,9.0,
Công ty Công vièntrung tâm (ii),Vay dài hạn(Thuyết minh số 23.2) > Công ty Công vièntrung tâm (ii),Công ty Công vièntrung tâm (ii),Công ty con,360.000,"9,00",Tháng 9 năm 2022Từ tháng 3 đến tháng 7năm 2022,,360000.0,9.0,
Công ty khác (i),Vay dài hạn(Thuyết minh số 23.2) > Công ty khác (i),Công ty khác (i),Công ty con,699.205,"9,00",Tháng 9 năm 2022Từ tháng 3 đến tháng 7năm 2022,,699205.0,9.0,
,,,,3.850.005,,,,3850005.0,,
