row_label_raw,row_label_full,Năm trước > Số đầu năm,Vốn cổ phần đã phát hành > Năm trước > 32.756.212,Thặng dư vốn cổ phần > Năm trước > 22.197.386,Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 41.000,Lợi nhuận sau thuế chưa phân phối > Năm trước > 866.446,Đơn vị tính: triệu VND > Năm trước > 55.861.044,numeric__Vốn cổ phần đã phát hành > Năm trước > 32.756.212,numeric__Thặng dư vốn cổ phần > Năm trước > 22.197.386,numeric__Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 41.000,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 866.446,numeric__Đơn vị tính: triệu VND > Năm trước > 55.861.044
- Phát hành cổ phiếu ưu đãi,- Phát hành cổ phiếu ưu đãi,- Phát hành cổ phiếu ưu đãi,1.543.142,15.515.091,-,-,17.058.233,1543142.0,15515091.0,,,17058233.0
- Trích quỹ khác,- Trích quỹ khác,- Trích quỹ khác,-,-,5.000,(5.000),-,,,5000.0,-5000.0,
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,4.323.229,4.323.229,,,,4323229.0,4323229.0
- Chuyển đổi cổ phiếu ưu đãi sang cổ phiếu phổ thông,- Chuyển đổi cổ phiếu ưu đãi sang cổ phiếu phổ thông,- Chuyển đổi cổ phiếu ưu đãi sang cổ phiếu phổ thông,9.786,(9.786),-,-,-,9786.0,-9786.0,,,
Số cuối năm,Số cuối năm,Số cuối năm,34.309.140,37.702.691,46.000,5.184.675,77.242.506,34309140.0,37702691.0,46000.0,5184675.0,77242506.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,34.309.140,37.702.691,46.000,5.184.675,77.242.506,34309140.0,37702691.0,46000.0,5184675.0,77242506.0
- Phát hành cổ phiếu phổ thông (*),Năm nay > - Phát hành cổ phiếu phổ thông (*),- Phát hành cổ phiếu phổ thông (*),138.551,1.450.622,-,-,1.589.173,138551.0,1450622.0,,,1589173.0
- Trích quỹ khác,Năm nay > - Trích quỹ khác,- Trích quỹ khác,-,-,5.000,(5.000),-,,,5000.0,-5000.0,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,1.009.234,1.009.234,,,,1009234.0,1009234.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,34.447.691,39.153.313,51.000,6.188.909,79.840.913,34447691.0,39153313.0,51000.0,6188909.0,79840913.0
