row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Lợi nhuận phải trả cho mục đích hợp tác đầu tư,-,1.006.857,,,,1006857.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Đặt cọc cho mục đích chuyển nhượng dự án,-,1.000.000,,,,1000000.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,410.230,3.400.230,,,410230.0,3400230.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Đặt cọc cho mục đích chuyển nhượng cổ phần,199.700,203.200,,,199700.0,203200.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,1.365.831,6.545.175,,,1365831.0,6545175.0
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,-,7.553.966,,,,7553966.0
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,Đặt cọc cho mục đích chuyển nhượng cổ phần,-,4.733.620,,,,4733620.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,233.754,2.793.166,,,233754.0,2793166.0
Công ty OneID,Công ty OneID,Công ty OneID,Công ty con,Đặt cọc cho mục đích chuyển nhượng cổ phần,-,1.252.035,,,,1252035.0
Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty Vincom Retail Miền Nam,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,-,1.013.050,,,,1013050.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Phải trả khác,92.747,2.538.209,,,92747.0,2538209.0
,,,,,2.302.262,32.039.508,,,2302262.0,32039508.0
