row_label_raw,row_label_full,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
7.722.426,7.722.426,7.722.426,-,
252.976,7.722.426 > 252.976,252.976,275.382,275382.0
317.809,7.722.426 > 317.809,317.809,301.230,301230.0
183.650,7.722.426 > 183.650,183.650,320.293,320293.0
167.329,7.722.426 > 167.329,167.329,167.329,167329.0
38.416,7.722.426 > 38.416,38.416,6.763,6763.0
232.459,7.722.426 > 232.459,232.459,187.844,187844.0
8.915.065,7.722.426 > 8.915.065,8.915.065,1.258.841,1258841.0
Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,
Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,
794.000,794.000,794.000,-,
436.546,794.000 > 436.546,436.546,90.070,90070.0
131.882,794.000 > 131.882,131.882,77.191,77191.0
24.079,794.000 > 24.079,24.079,153.423,153423.0
-,794.000 > -,-,216.530,216530.0
-,794.000 > -,-,246.119,246119.0
292.054,794.000 > 292.054,292.054,290.059,290059.0
1.678.561,794.000 > 1.678.561,1.678.561,1.073.392,1073392.0
