row_label_raw,row_label_full,"Ngắn hạn: > Tiền đặt cọc, góp vốn tử đối tác theo các thỏa thuân, hợp đồng hợp tác đầu tư/kinh doanh và hợp đồng chuyển nhượng các dự án bất động sản (Thuyết minh số 33.2)",Đơn vị tính: triệu VND > Số cuối năm > 2.009.815,Đơn vị tính: triệu VND > Số đầu năm > 23.377.087,numeric__Đơn vị tính: triệu VND > Số cuối năm > 2.009.815,numeric__Đơn vị tính: triệu VND > Số đầu năm > 23.377.087
Đặt cọc để chuyển nhượng các khoản đầu tư (i),Đặt cọc để chuyển nhượng các khoản đầu tư (i),Đặt cọc để chuyển nhượng các khoản đầu tư (i),3.446.232,7.098.361,3446232.0,7098361.0
Lợi nhuận phân chia cho các đối tác theo hợp đồng hợp tác đầu tư/kinh doanh (Thuyết minh số 33.2),Lợi nhuận phân chia cho các đối tác theo hợp đồng hợp tác đầu tư/kinh doanh (Thuyết minh số 33.2),Lợi nhuận phân chia cho các đối tác theo hợp đồng hợp tác đầu tư/kinh doanh (Thuyết minh số 33.2),-,1.006.857,,1006857.0
Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản,Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản,Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản,278.495,891.179,278495.0,891179.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,102.724,1.477.848,102724.0,1477848.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.837.266,33.851.332,5837266.0,33851332.0
Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,3.535.004,1.811.824,3535004.0,1811824.0
Phải trả các bên liên quan(Thuyết minh số 33.2),Trong đó: > Phải trả các bên liên quan(Thuyết minh số 33.2),Phải trả các bên liên quan(Thuyết minh số 33.2),2.302.262,32.039.508,2302262.0,32039508.0
