row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.062.790,5.456.224,1062790.0,5456224.0
Thuế TNDN theo thuế suất áp dụng cho Công ty,Thuế TNDN theo thuế suất áp dụng cho Công ty,Thuế TNDN theo thuế suất áp dụng cho Công ty,212.558,1.091.245,212558.0,1091245.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,,,
Chi phí dự phòng không đủ điều kiện khấu trừ,Các khoản điều chỉnh: > Chi phí dự phòng không đủ điều kiện khấu trừ,Chi phí dự phòng không đủ điều kiện khấu trừ,46.270,365.455,46270.0,365455.0
Lợi nhuận sau thuế chia sẻ cho hoạt động hợp tác kinh doanh,Các khoản điều chỉnh: > Lợi nhuận sau thuế chia sẻ cho hoạt động hợp tác kinh doanh,Lợi nhuận sau thuế chia sẻ cho hoạt động hợp tác kinh doanh,74.170,224.858,74170.0,224858.0
Chi phí từ thiện và tài trợ,Các khoản điều chỉnh: > Chi phí từ thiện và tài trợ,Chi phí từ thiện và tài trợ,155.535,166.762,155535.0,166762.0
Cổ tức được chia,Các khoản điều chỉnh: > Cổ tức được chia,Cổ tức được chia,(2.500),(596.259),-2500.0,-596259.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,(136.714),,-136714.0
Hoàn nhập dự phòng chi phí lãi vay không được trừ các năm trước,Các khoản điều chỉnh: > Hoàn nhập dự phòng chi phí lãi vay không được trừ các năm trước,Hoàn nhập dự phòng chi phí lãi vay không được trừ các năm trước,(69.031),-,-69031.0,
Chi phí thuế không được trừ năm ngoài,Các khoản điều chỉnh: > Chi phí thuế không được trừ năm ngoài,Chi phí thuế không được trừ năm ngoài,(365.455),-,-365455.0,
Các khoản điều chỉnh khác,Các khoản điều chỉnh: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,2.009,17.648,2009.0,17648.0
Chi phí thuế TNDN phản ánh trên báo cáo kết quả hoạt động kinh doanh riêng ước tính,Các khoản điều chỉnh: > Chi phí thuế TNDN phản ánh trên báo cáo kết quả hoạt động kinh doanh riêng ước tính,Chi phí thuế TNDN phản ánh trên báo cáo kết quả hoạt động kinh doanh riêng ước tính,53.556,1.132.995,53556.0,1132995.0
