row_label_raw,row_label_full,"Dài hạn: > Tiền đặt cọc, góp vốn từ đối tác theo các thỏa thuận, hợp đồng hợp tác đầu tư/kinh doanh và hợp đồng chuyển nhượng các dự án bất động sản (Thuyết minh số 33.2)",Đơn vị tính: triệu VND > Số cuối năm > 20.385.933,Đơn vị tính: triệu VND > Số đầu năm > -,numeric__Đơn vị tính: triệu VND > Số cuối năm > 20.385.933,numeric__Đơn vị tính: triệu VND > Số đầu năm > -
Đặt cọc đề chuyển nhượng các khoản đầu tư,Đặt cọc đề chuyển nhượng các khoản đầu tư,Đặt cọc đề chuyển nhượng các khoản đầu tư,14.747.853,-,14747853.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,627.210,-,627210.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,35.760.996,-,35760996.0,
Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,2.014.995,-,2014995.0,
Phải trả các bên liên quan(Thuyết minh số 33.2),Trong đó: > Phải trả các bên liên quan(Thuyết minh số 33.2),Phải trả các bên liên quan(Thuyết minh số 33.2),33.746.001,-,33746001.0,
